CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,CAND_IND2,CAND_IND3,PVEM_MORENA,PAN_PRI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,27,TABASCO,14,EMILIANO ZAPATA,7,EMILIANO ZAPATA,680,1,1,0,0,0,3,1,83,97,,,,0,,184,0,6,190,224
3,27,TABASCO,14,EMILIANO ZAPATA,7,EMILIANO ZAPATA,681,2,2,3,0,0,8,12,404,265,,,,0,,692,0,14,706,849
3,27,TABASCO,14,EMILIANO ZAPATA,7,EMILIANO ZAPATA,682,1,1,1,0,0,6,11,297,193,,,,6,,514,0,25,539,672
3,27,TABASCO,14,EMILIANO ZAPATA,7,EMILIANO ZAPATA,683,2,2,0,3,1,18,8,428,316,,,,4,,778,0,22,800,1124
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,846,3,3,1,1,659,6,9,6,789,,,,,,1471,1,29,1501,1958
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,847,4,4,2,2,514,0,2,9,706,,,,,,1235,1,42,1278,1536
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,848,2,2,1,0,367,1,1,8,501,,,,,,879,0,31,910,1163
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,849,2,2,2,5,374,4,2,5,485,,,,,,877,4,21,902,1145
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,850,1,1,1,1,126,2,2,3,152,,,,,,287,0,20,307,417
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,851,2,2,1,0,345,4,2,2,304,,,,,,658,0,16,674,803
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,852,2,2,0,3,247,4,1,5,286,,,,,,546,0,18,564,669
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,853,1,1,1,0,222,5,4,2,322,,,,,,556,0,16,572,688
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,854,1,1,0,0,85,0,0,1,43,,,,,,129,0,4,133,167
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,855,1,1,2,0,110,2,1,4,141,,,,,,260,0,16,276,350
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,856,1,1,0,0,86,0,0,2,151,,,,,,239,0,12,251,303
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,857,2,2,1,1,311,4,12,13,309,,,,,,651,0,17,668,829
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,858,2,2,1,4,300,8,6,4,466,,,,,,789,0,25,814,1053
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,859,3,3,1,2,406,4,5,3,551,,,,,,972,0,42,1014,1248
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,860,2,2,3,1,277,0,4,5,478,,,,,,768,0,12,780,965
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,861,2,2,4,9,505,5,5,16,527,,,,,,1071,0,38,1109,1395
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,862,2,2,2,1,231,4,1,8,332,,,,,,579,0,12,591,687
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,863,2,2,2,6,447,4,8,6,528,,,,,,1001,2,29,1032,1340
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,864,1,1,0,2,75,3,1,1,234,,,,,,316,0,15,331,391
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,865,2,2,3,1,312,7,3,16,519,,,,,,861,0,42,903,1089
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,866,1,1,1,1,171,1,1,3,286,,,,,,464,0,20,484,577
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,867,1,1,0,0,188,0,0,0,253,,,,,,441,0,5,446,630
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,868,3,3,2,2,650,11,8,4,646,,,,,,1323,0,31,1354,1737
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,869,2,2,0,1,345,4,4,2,687,,,,,,1043,0,53,1096,1324
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,870,2,2,1,1,319,9,1,5,533,,,,,,869,0,43,912,1185
3,27,TABASCO,14,EMILIANO ZAPATA,11,JONUTA,871,2,2,0,0,198,7,3,3,493,,,,,,704,0,28,732,866
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,886,3,3,15,57,32,131,22,9,354,,,,,1,621,0,72,693,1474
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,887,1,1,5,5,9,31,2,7,143,,,,,0,202,0,16,218,411
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,888,1,1,3,4,21,3,3,2,140,,,,,0,176,0,9,185,320
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,889,2,2,8,12,30,54,42,14,463,,,,,0,623,0,84,707,1464
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,890,3,3,35,43,51,46,16,19,723,,,,,0,933,1,92,1026,1988
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,891,1,1,9,19,12,37,5,3,234,,,,,1,320,0,25,345,627
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,892,3,3,49,38,50,70,36,26,528,,,,,0,797,0,97,894,1940
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,893,2,2,15,10,9,112,13,16,307,,,,,6,488,0,30,518,978
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,894,1,1,6,2,5,11,2,5,151,,,,,0,182,0,18,200,676
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,895,2,2,39,20,28,107,22,23,387,,,,,0,626,0,53,679,1103
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,896,2,2,33,22,24,57,19,19,323,,,,,0,497,0,24,521,837
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,897,3,3,12,16,26,133,23,28,540,,,,,0,778,0,74,852,1582
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,898,2,2,46,33,18,103,12,21,337,,,,,0,570,0,30,600,908
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,899,1,1,28,7,6,37,6,11,101,,,,,0,196,0,9,205,343
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,900,3,3,23,17,21,71,36,26,507,,,,,3,704,0,97,801,1708
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,901,2,2,26,27,36,163,24,24,432,,,,,9,741,0,48,789,1386
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,902,2,2,17,16,19,121,16,15,326,,,,,0,530,0,42,572,1035
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,903,3,3,36,23,44,109,43,22,547,,,,,2,826,1,70,897,1713
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,904,2,2,8,9,29,20,3,6,218,,,,,100,393,0,25,418,500
