CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_NAZ_PES,PT_NAZ,PT_PES,NAZ_PES,PVEM_MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1775,2,2,85,39,13,44,29,64,118,10,12,19,8,19,12,1,0,0,3,0,0,0,13,0,489,0,24,513,799
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1776,1,1,40,22,6,51,28,56,95,12,17,15,2,10,3,1,2,0,2,1,0,1,7,0,371,3,26,400,621
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1777,1,1,63,30,4,34,29,35,102,10,5,9,6,8,13,1,0,0,1,0,1,0,11,0,362,0,18,380,520
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1778,2,2,62,54,7,68,45,70,170,16,7,32,11,15,4,2,1,0,0,1,0,1,11,0,577,1,32,610,977
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1779,2,2,82,90,8,80,23,54,99,12,11,10,5,12,12,3,0,0,7,0,0,0,5,0,513,1,29,543,813
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1780,1,1,63,73,10,27,21,42,115,3,5,12,8,13,7,2,1,0,4,1,0,0,9,0,416,1,20,437,609
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1781,1,1,32,37,2,31,13,32,86,3,4,14,1,8,3,1,0,0,5,0,0,0,15,0,287,0,20,307,469
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1782,1,1,49,49,3,34,26,43,95,12,7,17,6,9,4,3,0,0,0,0,0,0,7,0,364,0,18,382,547
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1783,1,1,51,43,5,38,24,45,86,9,7,10,8,10,5,2,0,0,1,2,0,0,7,0,353,1,20,374,536
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1784,1,1,51,26,6,37,17,33,120,6,7,8,8,23,3,2,0,0,4,0,0,0,11,0,362,0,11,373,555
