CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,297,B,1,0,B,0,38,1,4,24,47,93,230,6,0,8,0,0,4,455,0,15,470,616,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,636,B,1,0,B,0,6,2,1,158,7,10,105,1,1,0,12,5,1,309,0,15,324,653,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,637,B,1,0,B,0,3,2,0,156,2,9,74,1,0,3,0,3,0,253,0,6,259,459,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,638,B,1,0,B,0,4,1,2,198,8,11,109,2,0,6,0,3,1,345,1,7,353,664,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,638,C,1,0,C01,0,2,2,1,192,6,9,100,1,0,7,1,5,0,326,0,7,333,664,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,639,B,1,0,B,0,3,3,2,121,1,4,62,2,0,4,0,3,0,205,0,6,211,436,RECONTADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,639,C,1,0,C01,0,6,0,1,112,3,12,62,2,0,4,2,3,1,208,0,6,214,436,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,640,B,1,0,B,0,1,4,1,194,5,2,129,1,0,8,2,6,1,354,0,4,358,621,RECONTADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,640,C,1,0,C01,0,1,5,0,189,3,7,85,2,0,8,0,8,0,308,0,5,313,621,RECONTADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,640,C,2,0,C02,0,5,2,0,200,6,5,90,1,0,11,1,1,1,323,0,11,334,621,RECONTADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,641,B,1,0,B,0,1,1,0,156,5,2,90,2,0,7,0,0,2,266,0,9,275,538,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,641,C,1,0,C01,0,2,4,3,171,3,6,99,0,0,1,0,6,0,295,1,3,299,538,RECONTADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,662,B,1,0,B,0,171,26,5,13,4,43,103,12,2,8,0,1,1,389,0,18,407,647,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,662,C,1,0,C01,0,182,26,5,16,5,51,116,6,4,8,0,1,0,420,0,21,441,647,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,663,B,1,0,B,0,158,36,5,6,1,57,137,10,6,9,1,0,0,426,2,10,438,685,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,663,C,1,0,C01,0,157,25,7,17,8,32,140,6,5,14,0,0,1,412,2,12,426,685,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,664,B,1,0,B,0,236,31,6,12,6,29,66,1,2,3,0,1,1,394,1,7,402,620,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,664,C,1,0,C01,0,221,28,7,7,7,26,86,4,8,8,0,0,0,402,0,14,416,620,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,664,C,2,0,C02,0,212,29,7,12,10,25,68,8,8,9,0,1,2,391,2,9,402,620,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,665,B,1,0,B,0,141,28,3,10,3,18,68,3,3,5,0,0,1,283,0,7,290,446,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,665,C,1,0,C01,0,107,19,9,20,11,29,79,3,5,4,0,0,0,286,0,5,291,446,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,666,B,1,0,B,0,143,21,8,10,2,28,76,2,6,7,0,0,1,304,0,6,310,483,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,667,B,1,0,B,0,165,29,9,15,4,29,86,2,8,2,1,0,0,350,0,16,366,606,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,667,C,1,0,C01,0,184,37,10,8,6,27,94,8,6,0,8,0,1,389,1,11,401,606,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,667,C,2,0,C02,0,180,34,9,9,5,25,82,4,5,5,0,0,2,360,0,11,371,605,COTEJADO EN PLENO,,,
