CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,3,COLIMA,1,COLIMA,23,S,1,0,S01,0,7,5,0,0,0,5,7,0,0,0,0,1,0,0,0,0,25,0,0,25,0,ACTA DEL CONSEJO,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,24,B,1,0,B,0,74,45,6,7,10,76,123,6,8,0,0,6,10,2,1,1,375,0,16,391,733,ACTA DEL CONSEJO,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,24,C,1,0,C01,0,66,40,1,15,13,63,125,1,6,0,0,6,10,2,4,3,355,0,12,367,733,ACTA CASILLA,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,24,C,2,0,C02,0,71,30,4,14,12,88,119,4,12,0,0,6,12,3,1,4,380,0,5,385,733,ACTA CASILLA,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,24,C,3,0,C03,0,49,40,3,10,6,67,120,4,5,0,0,9,11,1,0,2,327,0,15,342,733,ACTA DEL CONSEJO,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,24,C,4,0,C04,0,58,37,7,4,12,72,138,7,11,0,0,4,11,4,1,1,367,0,18,385,733,ACTA CASILLA,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,24,C,5,0,C05,0,67,40,2,8,12,76,131,3,12,0,0,10,17,5,3,0,386,0,9,395,733,ACTA DEL CONSEJO,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,24,C,6,0,C06,0,72,38,2,9,10,69,130,0,7,0,0,6,7,2,0,6,358,0,13,371,732,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,25,B,1,0,B,0,53,45,2,8,11,68,84,10,9,0,0,4,9,1,1,2,307,1,8,316,547,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,25,C,1,0,C01,0,58,36,5,8,4,66,90,6,8,0,0,4,7,3,1,1,297,0,8,305,546,ACTA CASILLA,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,26,B,1,0,B,0,57,34,3,8,6,54,63,3,4,0,0,4,7,1,0,1,245,0,6,251,400,ACTA CASILLA,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,26,C,1,0,C01,0,61,43,2,8,3,54,54,7,5,0,0,4,4,2,2,0,249,2,10,261,400,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,27,B,1,0,B,0,112,57,6,7,13,129,108,8,6,0,0,9,4,3,0,3,465,0,10,475,706,ACTA CASILLA,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,28,B,1,0,B,0,47,47,2,2,2,92,62,5,4,0,0,7,5,0,0,1,276,0,6,282,436,ACTA CASILLA,,,
