CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,2,COLIMA,1,COLIMA,10,2,2,225,86,8,13,8,109,130,8,8,0,0,18,11,6,2,1,633,0,18,651,1081
5,6,COLIMA,2,COLIMA,1,COLIMA,11,1,1,136,74,6,3,5,99,40,7,3,0,0,9,4,2,0,0,388,0,10,398,543
5,6,COLIMA,1,COLIMA,1,COLIMA,12,2,2,313,120,2,4,4,212,73,11,8,0,0,23,10,0,0,0,780,0,21,801,1094
5,6,COLIMA,1,COLIMA,1,COLIMA,13,3,3,425,211,3,14,8,279,148,17,9,0,0,25,15,4,0,1,1159,0,18,1177,1613
5,6,COLIMA,2,COLIMA,1,COLIMA,14,2,2,98,74,4,18,13,136,184,16,13,0,0,5,13,4,4,1,583,0,16,599,913
5,6,COLIMA,2,COLIMA,1,COLIMA,15,1,1,54,49,0,7,5,95,72,5,3,0,0,8,5,1,0,2,306,0,6,312,466
5,6,COLIMA,2,COLIMA,1,COLIMA,16,1,1,80,64,5,8,5,97,76,6,4,0,0,7,5,0,0,0,357,1,13,371,560
5,6,COLIMA,2,COLIMA,1,COLIMA,17,1,1,101,44,6,5,6,76,90,14,9,0,0,9,7,1,0,2,370,0,10,380,589
5,6,COLIMA,2,COLIMA,1,COLIMA,18,2,2,114,100,5,17,2,141,118,17,11,0,0,10,9,2,0,0,546,0,15,561,816
5,6,COLIMA,2,COLIMA,1,COLIMA,19,2,2,202,124,7,11,5,154,115,20,8,0,0,19,10,1,1,3,680,0,20,700,935
5,6,COLIMA,1,COLIMA,1,COLIMA,20,2,2,231,137,5,4,0,131,90,8,10,0,0,17,5,1,0,0,639,0,12,651,835
5,6,COLIMA,1,COLIMA,1,COLIMA,21,2,2,290,114,3,8,8,155,107,15,5,0,0,22,8,5,1,2,743,0,14,757,1050
5,6,COLIMA,1,COLIMA,1,COLIMA,22,2,2,95,50,4,12,7,113,125,8,15,0,0,7,17,4,3,1,461,2,14,477,815
