CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,PAN_PRI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,27,TABASCO,6,CENTRO,4,CENTRO,443,4,4,15,45,31,91,58,60,898,60,5,16,15,0,1294,0,33,1327,2657
3,27,TABASCO,6,CENTRO,4,CENTRO,444,1,1,2,16,12,24,9,13,213,10,4,6,3,2,314,0,12,326,607
3,27,TABASCO,6,CENTRO,4,CENTRO,445,4,4,56,57,71,83,78,144,1120,96,1,7,5,5,1723,1,32,1756,2789
3,27,TABASCO,6,CENTRO,4,CENTRO,446,7,7,31,59,73,148,115,103,1712,84,15,16,26,4,2386,1,36,2423,4521
3,27,TABASCO,6,CENTRO,4,CENTRO,447,2,2,3,16,20,36,24,14,469,28,0,5,8,1,624,0,24,648,1379
3,27,TABASCO,6,CENTRO,4,CENTRO,448,2,2,2,11,19,43,18,15,393,11,2,3,6,0,523,4,5,532,1115
3,27,TABASCO,6,CENTRO,4,CENTRO,451,2,2,11,5,7,30,10,19,188,296,0,0,0,9,575,0,14,589,1206
3,27,TABASCO,6,CENTRO,4,CENTRO,454,2,2,3,11,7,51,20,14,346,39,3,4,8,3,509,0,28,537,1078
3,27,TABASCO,6,CENTRO,4,CENTRO,455,2,2,2,16,7,74,26,18,377,9,2,24,3,3,561,0,34,595,1180
3,27,TABASCO,6,CENTRO,4,CENTRO,456,3,3,13,22,27,134,30,27,603,44,4,15,6,0,925,0,53,978,1732
3,27,TABASCO,6,CENTRO,4,CENTRO,472,2,2,2,22,19,79,17,13,379,16,9,8,0,1,565,0,18,583,1255
3,27,TABASCO,6,CENTRO,4,CENTRO,478,2,2,6,44,9,76,22,20,383,27,7,19,4,0,617,0,23,640,1346
3,27,TABASCO,6,CENTRO,4,CENTRO,1148,4,4,16,46,30,106,60,48,1119,67,9,26,20,4,1551,0,54,1605,2414
3,27,TABASCO,6,CENTRO,4,CENTRO,1149,2,2,1,3,7,32,10,7,226,28,4,6,3,1,328,0,18,346,1191
3,27,TABASCO,6,CENTRO,4,CENTRO,1163,4,4,25,36,51,116,59,59,1073,58,2,9,10,2,1500,0,21,1521,2694
3,27,TABASCO,6,CENTRO,4,CENTRO,1164,2,2,21,14,29,60,33,39,394,33,1,8,6,4,642,0,14,656,1053
3,27,TABASCO,6,CENTRO,4,CENTRO,1165,3,3,15,16,36,46,33,78,789,63,3,16,12,1,1108,0,34,1142,1924
3,27,TABASCO,6,CENTRO,4,CENTRO,1182,3,3,42,35,38,53,39,112,804,56,2,5,1,2,1189,0,34,1223,2028
3,27,TABASCO,6,CENTRO,4,CENTRO,1183,5,5,27,29,56,109,49,76,1256,59,7,12,9,1,1690,0,24,1714,3034
3,27,TABASCO,6,CENTRO,4,CENTRO,1184,4,4,36,64,53,91,67,100,1081,65,1,12,14,5,1589,1,28,1618,2697
3,27,TABASCO,6,CENTRO,4,CENTRO,1185,4,4,23,37,62,110,65,70,1111,94,0,14,7,2,1595,1,34,1630,2843
3,27,TABASCO,6,CENTRO,4,CENTRO,1186,2,2,3,14,28,49,34,19,431,17,2,5,3,0,605,0,18,623,1224
3,27,TABASCO,7,CENTRO,4,CENTRO,0,0,2,1,5,0,2,3,2,21,1,1,0,0,0,36,0,0,36,44
3,27,TABASCO,7,CENTRO,4,CENTRO,233,2,2,16,24,21,29,13,32,395,21,1,7,1,2,562,3,14,579,856
3,27,TABASCO,7,CENTRO,4,CENTRO,234,6,6,28,83,59,94,97,103,1452,98,22,7,9,4,2056,0,49,2105,3985
3,27,TABASCO,7,CENTRO,4,CENTRO,235,2,2,10,12,14,25,18,23,397,21,4,6,4,3,537,0,18,555,864
3,27,TABASCO,7,CENTRO,4,CENTRO,236,2,2,5,18,14,17,22,39,363,41,1,4,1,3,528,1,17,546,819
3,27,TABASCO,7,CENTRO,4,CENTRO,237,5,5,37,70,52,78,86,98,987,63,6,36,10,1,1524,0,56,1580,3167
3,27,TABASCO,7,CENTRO,4,CENTRO,238,3,3,13,44,47,44,58,47,664,48,2,8,9,3,987,0,21,1008,1779
3,27,TABASCO,7,CENTRO,4,CENTRO,239,1,1,10,21,10,26,19,27,320,15,2,4,3,5,462,0,7,469,747
3,27,TABASCO,7,CENTRO,4,CENTRO,240,2,2,12,22,20,36,18,36,334,32,4,8,4,0,526,1,9,536,774
3,27,TABASCO,7,CENTRO,4,CENTRO,241,4,4,19,44,39,97,60,64,957,54,2,11,20,3,1370,0,35,1405,2383
3,27,TABASCO,7,CENTRO,4,CENTRO,242,4,4,30,59,47,101,64,86,1019,102,3,12,18,3,1544,0,39,1583,2814
3,27,TABASCO,7,CENTRO,4,CENTRO,243,2,2,15,35,23,30,30,69,531,38,2,14,5,3,795,1,19,815,1294
3,27,TABASCO,7,CENTRO,4,CENTRO,244,2,2,9,21,18,37,24,43,429,24,5,3,14,2,629,0,22,651,1079
3,27,TABASCO,7,CENTRO,4,CENTRO,245,3,3,27,42,45,64,61,70,850,55,5,7,9,4,1239,1,12,1252,2183
3,27,TABASCO,7,CENTRO,4,CENTRO,246,2,2,14,33,25,30,23,35,404,34,2,1,12,4,617,0,28,645,1115
3,27,TABASCO,7,CENTRO,4,CENTRO,247,2,2,15,17,13,14,27,28,371,20,1,5,1,0,512,2,11,525,1023
3,27,TABASCO,7,CENTRO,4,CENTRO,248,2,2,15,33,23,41,39,52,550,63,1,5,7,2,831,0,17,848,1412
3,27,TABASCO,7,CENTRO,4,CENTRO,249,9,9,85,98,114,168,120,175,1700,135,8,30,32,11,2676,15,79,2770,6146
3,27,TABASCO,7,CENTRO,4,CENTRO,250,2,2,67,70,56,43,32,63,526,39,1,5,8,3,913,2,13,928,1447
