CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,PAN_PRI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,27,TABASCO,2,CARDENAS,2,CARDENAS,101,E,1,1,E01C01,0,1,3,7,6,6,3,171,10,1,4,2,0,214,0,19,233,405,Grupo de recuento,,,http://iepct.mx/computos/2024/GUB/2/acta_recuento/GRUPO01.pdf
3,27,TABASCO,2,CARDENAS,2,CARDENAS,103,B,1,0,B,0,1,8,65,6,10,5,173,0,0,0,0,0,268,0,14,282,588,Acta casilla,,,http://iepct.mx/computos/2024/GUB/2/acta_casilla_consejo/GUB_0103_B.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,103,C,1,0,C01,0,0,0,96,0,0,7,222,0,0,0,0,0,325,0,10,335,588,Acta casilla,,,http://iepct.mx/computos/2024/GUB/2/acta_casilla_consejo/GUB_0103_C01.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,103,C,2,0,C02,0,3,6,63,9,13,3,201,7,1,4,0,0,310,0,15,325,587,Acta casilla,,,http://iepct.mx/computos/2024/GUB/2/acta_casilla_consejo/GUB_0103_C02.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,104,B,1,0,B,0,1,1,41,15,11,7,192,7,2,1,2,1,281,0,12,293,513,Grupo de recuento,,,http://iepct.mx/computos/2024/GUB/2/acta_recuento/GRUPO01.pdf
3,27,TABASCO,2,CARDENAS,2,CARDENAS,104,C,1,0,C01,0,0,4,38,9,7,2,193,1,0,0,1,0,255,0,17,272,512,Acta casilla,,,http://iepct.mx/computos/2024/GUB/2/acta_casilla_consejo/GUB_0104_C01.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,105,B,1,0,B,0,4,20,86,27,21,3,257,13,6,4,5,0,446,0,38,484,564,Grupo de recuento,,,http://iepct.mx/computos/2024/GUB/2/acta_recuento/GRUPO01.pdf
3,27,TABASCO,2,CARDENAS,2,CARDENAS,105,C,1,0,C01,0,3,11,56,12,14,6,115,3,3,2,0,0,225,0,14,239,564,Grupo de recuento,,,http://iepct.mx/computos/2024/GUB/2/acta_recuento/GRUPO01.pdf
3,27,TABASCO,2,CARDENAS,2,CARDENAS,105,C,2,0,C02,0,4,21,52,3,13,9,123,2,1,3,1,0,232,0,16,248,564,Grupo de recuento,,,http://iepct.mx/computos/2024/GUB/2/acta_recuento/GRUPO01.pdf
3,27,TABASCO,2,CARDENAS,2,CARDENAS,106,B,1,0,B,0,4,7,27,7,8,1,185,3,3,1,0,0,246,0,16,262,528,Acta casilla,,,http://iepct.mx/computos/2024/GUB/2/acta_casilla_consejo/GUB_0106_B.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,106,C,1,0,C01,0,2,11,43,6,10,8,181,5,2,2,0,4,274,0,10,284,527,Acta casilla,,,http://iepct.mx/computos/2024/GUB/2/acta_casilla_consejo/GUB_0106_C01.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,106,E,1,0,E01,0,0,1,9,4,0,1,82,0,0,1,1,0,99,0,0,99,171,Acta casilla,,,http://iepct.mx/computos/2024/GUB/2/acta_casilla_consejo/GUB_0106_E01.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,107,B,1,0,B,0,2,3,20,20,4,1,270,14,10,2,0,0,346,0,10,356,677,Acta casilla,,,http://iepct.mx/computos/2024/GUB/2/acta_casilla_consejo/GUB_0107_B.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,107,C,1,0,C01,0,1,2,19,12,4,7,304,18,3,11,3,0,384,0,13,397,677,Acta casilla,,,http://iepct.mx/computos/2024/GUB/2/acta_casilla_consejo/GUB_0107_C01.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,108,B,1,0,B,0,3,17,46,16,13,3,238,1,0,2,0,0,339,0,25,364,702,Acta casilla,,,http://iepct.mx/computos/2024/GUB/2/acta_casilla_consejo/GUB_0108_B.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,110,B,1,0,B,0,2,2,22,19,20,6,176,4,1,2,1,0,255,0,10,265,641,Acta casilla,,,http://iepct.mx/computos/2024/GUB/2/acta_casilla_consejo/GUB_0110_B.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,110,C,1,0,C01,0,3,5,18,2,11,8,175,12,2,3,4,0,243,0,28,271,641,Acta casilla,,,http://iepct.mx/computos/2024/GUB/2/acta_casilla_consejo/GUB_0110_C01.jpg
