CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN_PRI_PRD_PRS_PHBCS,MORENA_PT_PVEM_NABCS,MC,FXMBCS,MLBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,19,B,1,0,B,0,20,110,58,6,9,203,0,12,215,456,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,19,C,1,0,C01,0,15,133,48,4,13,213,0,11,224,456,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,20,B,1,0,B,0,16,175,44,4,10,249,0,21,270,641,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,20,C,1,0,C01,0,12,194,64,5,12,287,1,14,302,641,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,21,B,1,0,B,0,21,169,66,6,9,271,0,10,281,546,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,21,C,1,0,C01,0,15,181,61,4,11,272,0,15,287,546,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,22,B,1,0,B,0,19,116,80,8,13,236,0,12,248,593,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,22,C,1,0,C01,0,20,136,80,7,12,255,2,12,269,592,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,22,C,2,0,C02,0,20,132,67,2,14,235,0,10,245,592,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,22,C,3,0,C03,0,22,158,68,3,10,261,1,6,268,592,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,23,B,1,0,B,0,27,120,51,5,13,216,0,5,221,419,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,23,C,1,0,C01,0,23,132,57,5,19,236,0,5,241,419,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,24,B,1,0,B,0,26,187,86,4,28,331,0,11,342,704,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,25,B,1,0,B,0,26,133,65,6,10,240,0,16,256,466,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,25,C,1,0,C01,0,20,122,61,6,9,218,1,15,234,465,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,26,B,1,0,B,0,21,131,73,1,11,237,0,13,250,472,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,26,C,1,0,C01,0,20,117,61,2,15,215,0,6,221,471,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,27,B,1,0,B,0,16,164,63,4,13,260,1,3,264,489,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,27,C,1,0,C01,0,11,140,49,2,12,214,0,10,224,488,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,28,B,1,0,B,0,13,193,64,1,17,288,0,14,302,720,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,28,C,1,0,C01,0,16,182,57,5,15,275,0,14,289,720,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,28,C,2,0,C02,0,26,186,74,3,13,302,0,11,313,720,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,28,C,3,0,C03,0,21,181,63,3,13,281,0,18,299,720,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,28,C,4,0,C04,0,17,190,40,3,17,267,0,12,279,719,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,29,B,1,0,B,0,23,152,63,12,11,261,0,11,272,565,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,29,C,1,0,C01,0,27,185,45,6,5,268,0,9,277,565,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,29,C,2,0,C02,0,23,153,48,6,14,244,0,11,255,564,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,30,B,1,0,B,0,21,181,46,8,7,263,0,11,274,659,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,30,C,1,0,C01,0,20,183,54,5,8,270,0,17,287,659,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,30,C,2,0,C02,0,31,181,57,4,10,283,0,17,300,659,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,31,B,1,0,B,0,23,169,57,1,13,263,0,7,270,496,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,31,C,1,0,C01,0,26,147,59,9,14,255,0,8,263,495,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,32,B,1,0,B,0,39,177,70,8,20,314,0,7,321,597,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,32,C,1,0,C01,0,23,151,58,2,21,255,0,13,268,596,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,33,B,1,0,B,0,18,126,29,2,8,183,0,4,187,338,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,34,B,1,0,B,0,33,304,56,11,5,409,0,25,434,736,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,35,B,1,0,B,0,1,58,22,5,1,87,0,1,88,152,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,36,B,1,0,B,0,13,53,4,0,6,76,0,12,88,224,Grupo de recuento,,,
