ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,12,CENOTILLO,5,7,7,1202,35,2,21,33,19,1244,4,4,12,1,0,24,0,7,7,2615,0,19,2634,3263,
31,YUCATAN,13,CONKAL,7,23,23,4095,1875,21,149,155,231,2690,12,44,67,5,3,113,9,19,22,9510,1,208,9719,13232,
31,YUCATAN,14,CUNCUNUL,2,3,3,410,91,5,18,23,12,735,2,7,6,0,0,8,6,0,1,1324,0,23,1347,1459,
31,YUCATAN,15,CUZAMA,3,6,6,1105,128,15,105,639,65,999,277,3,4,3,3,22,14,3,12,3397,0,77,3474,4144,
31,YUCATAN,16,CHACSINKIN,1,4,4,346,989,2,29,26,8,795,0,1,4,0,0,0,0,3,2,2205,0,33,2238,2455,
31,YUCATAN,17,CHANKOM,4,8,8,1973,128,4,30,32,10,1351,4,3,21,0,0,16,0,11,1,3584,0,29,3613,3898,
31,YUCATAN,18,CHAPAB,3,6,6,714,388,4,41,71,41,1408,6,0,1,0,0,12,2,1,2,2691,0,34,2725,3221,
31,YUCATAN,19,CHEMAX,14,42,42,8918,346,103,116,284,221,7778,35,263,8,7,0,271,13,13,20,18396,0,211,18607,26267,
31,YUCATAN,20,CHICXULUB PUEBLO,2,6,6,1464,57,11,61,55,68,1461,1,6,15,1,0,36,4,11,16,3267,1,59,3327,3813,
31,YUCATAN,21,CHICHIMILA,6,13,13,1089,1607,7,977,98,23,1580,9,3,7,1,2,15,7,4,5,5434,0,58,5492,6990,
31,YUCATAN,22,CHIKINDZONOT,3,6,6,212,1306,2,17,21,8,1638,1,1,8,0,0,6,0,1,2,3223,0,28,3251,3457,
31,YUCATAN,23,CHOCHOLA,3,6,6,540,975,10,109,106,79,1386,6,3,7,1,0,42,4,7,4,3279,0,59,3338,3867,
31,YUCATAN,24,CHUMAYEL,2,5,5,427,48,2,908,21,15,1006,1,3,6,0,0,3,0,1,1,2442,0,23,2465,2776,
31,YUCATAN,25,DZAN,2,7,7,1142,774,25,44,93,44,1617,6,3,15,2,1,23,3,6,4,3802,0,102,3904,4534,
31,YUCATAN,26,DZEMUL,3,6,6,868,39,6,39,68,747,1106,13,6,12,0,1,21,1,5,42,2974,0,66,3040,3354,
31,YUCATAN,27,DZIDZANTUN,5,12,12,1802,145,11,102,112,126,3004,61,9,19,7,1,52,7,18,9,5485,2,109,5596,6832,
31,YUCATAN,28,DZILAM DE BRAVO,2,4,4,402,73,5,45,125,220,760,376,11,3,13,4,30,3,4,7,2081,1,51,2133,2404,
31,YUCATAN,29,DZILAM GONZALEZ,5,10,10,487,95,6,28,47,29,1486,817,15,6,14,3,20,4,2,5,3064,0,47,3111,5278,
31,YUCATAN,30,DZITAS,4,6,6,548,32,0,25,19,2,563,2,0,1,0,0,8,4,4,3,1211,0,6,1217,3137,
31,YUCATAN,31,DZONCAUICH,3,6,6,304,961,1,22,32,24,1344,1,0,7,0,0,10,2,6,2,2716,0,20,2736,3007,
31,YUCATAN,32,ESPITA,8,19,19,2278,257,16,2279,130,73,2716,19,4,13,1,0,17,6,26,6,7841,1,110,7952,12156,
31,YUCATAN,33,HALACHO,10,26,26,3517,244,41,240,453,1351,6677,268,9,14,10,13,50,6,23,16,12932,0,288,13220,16044,
31,YUCATAN,34,HOCABA,5,10,10,490,1141,9,46,35,31,2317,13,15,21,0,1,49,4,7,5,4184,10,70,4264,4984,
31,YUCATAN,35,HOCTUN,5,10,10,1059,35,670,43,66,39,2087,11,112,2,1,0,221,2,4,4,4356,0,121,4477,5132,
31,YUCATAN,36,HOMUN,6,11,11,951,1329,14,265,114,104,2426,116,24,44,1,8,41,8,28,7,5480,2,173,5655,6470,
31,YUCATAN,37,HUHI,3,8,8,968,586,4,657,75,54,1231,9,4,5,1,0,8,3,5,8,3618,0,91,3709,4346,
31,YUCATAN,38,HUNUCMA,16,42,42,5203,517,198,1071,1587,667,7774,915,32,74,134,6,115,22,46,56,18417,3,539,18959,26413,
31,YUCATAN,39,IXIL,2,6,6,923,160,16,87,524,212,932,6,2,27,0,0,10,2,2,13,2916,0,55,2971,3400,
31,YUCATAN,40,IZAMAL,15,38,38,1980,4452,88,327,350,451,8830,36,11,168,4,1,212,28,60,54,17052,5,417,17474,21687,
31,YUCATAN,41,KANASIN,29,129,129,14822,679,212,1266,1127,1920,22335,360,197,195,88,7,1490,104,410,208,45420,20,1273,46713,87400,
31,YUCATAN,42,KANTUNIL,3,7,7,695,567,15,454,64,49,1477,122,0,7,1,1,10,2,11,4,3479,0,62,3541,4223,
31,YUCATAN,43,KAUA,1,4,4,110,924,2,18,16,4,1188,2,1,6,0,0,7,0,2,8,2288,0,18,2306,2586,
