CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,31,YUCATAN,8,MERIDA,50,MERIDA,1109,E,1,0,E01,0,115,4,1,4,7,15,111,1,3,1,0,0,8,0,0,1,271,0,9,280,447,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1111,B,1,0,B,0,58,9,2,10,14,20,140,2,1,0,0,0,12,0,8,0,276,0,20,296,468,PUNTO DE RECUENTO,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1111,C,1,0,C01,0,51,14,0,12,13,13,161,1,2,1,0,0,3,1,3,0,275,0,16,291,468,PUNTO DE RECUENTO,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1112,B,1,0,B,0,61,9,1,7,12,14,168,0,0,4,0,0,5,0,4,3,288,0,7,295,569,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1112,C,1,0,C01,0,68,4,0,11,6,21,150,0,2,0,0,0,8,0,4,2,276,0,10,286,568,PUNTO DE RECUENTO,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1112,C,2,0,C02,0,49,7,1,6,11,13,157,0,1,0,0,0,20,0,5,1,271,0,6,277,568,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1112,C,3,0,C03,0,69,9,1,5,8,11,169,1,4,0,0,0,13,1,2,0,293,0,6,299,568,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1113,B,1,0,B,0,101,19,3,5,7,22,185,0,3,2,0,0,7,0,2,0,356,0,8,364,633,PUNTO DE RECUENTO,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1113,C,1,0,C01,0,97,8,2,12,6,18,178,0,3,1,0,0,11,1,2,1,340,0,2,342,633,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1114,B,1,0,B,0,157,8,2,4,6,37,174,3,7,5,0,0,12,0,2,2,419,1,5,425,721,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1114,C,1,0,C01,0,163,10,1,6,5,29,201,0,3,4,1,0,17,0,2,1,443,0,6,449,721,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1114,C,2,0,C02,0,134,5,0,9,9,33,199,0,4,4,0,0,11,0,0,0,408,0,13,421,721,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1114,C,3,0,C03,0,151,7,1,10,2,29,187,2,7,3,0,0,15,0,1,5,420,0,8,428,721,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1114,C,4,0,C04,0,166,11,1,11,7,22,196,3,2,3,0,0,14,1,1,3,441,0,6,447,721,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1114,C,5,0,C05,0,162,10,1,6,11,30,185,4,2,0,2,0,8,0,2,3,426,0,7,433,721,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1114,C,6,0,C06,0,169,19,1,5,12,20,181,0,1,3,1,0,7,0,1,0,420,0,7,427,721,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1114,C,7,0,C07,0,160,6,3,4,7,22,195,2,2,5,0,0,16,0,7,0,429,0,6,435,720,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1114,C,8,0,C08,0,168,13,2,8,6,37,181,1,6,4,1,0,15,0,2,0,444,0,3,447,720,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1114,C,9,0,C09,0,141,10,1,5,11,32,180,1,2,2,0,0,8,0,2,3,398,2,14,414,720,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1115,B,1,0,B,0,101,12,3,16,12,18,189,2,1,1,0,0,10,1,4,1,371,0,7,378,628,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1115,C,1,0,C01,0,94,9,0,14,14,36,175,2,3,1,0,0,9,0,3,5,365,0,12,377,628,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1116,B,1,0,B,0,121,14,1,12,5,20,181,2,2,1,0,0,15,1,2,1,378,0,9,387,622,ACTA DE CASILLA,,,
