CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PNAM,MORENA,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,MC_PROGRESA,MORENA_PNAM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,52,3,3,295,47,17,12,2,19,60,296,69,16,47,16,33,10,1,0,0,17,5,2,0,0,0,4,23,1,0,1,2,4,1,0,8,0,0,0,0,0,1008,0,26,1034,1785
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,53,1,1,83,21,8,9,1,8,21,78,21,1,18,7,5,0,2,0,0,2,1,0,0,0,0,2,12,0,0,0,0,0,1,1,0,0,0,0,0,0,302,0,13,315,542
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,54,2,2,193,28,10,16,5,34,19,308,37,10,46,20,9,9,0,0,0,4,0,0,0,0,0,4,20,6,1,0,0,2,3,1,0,0,0,0,0,0,785,0,30,815,1401
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,55,5,5,257,50,19,40,12,62,81,553,71,22,94,41,20,11,1,2,0,3,3,1,0,0,1,9,41,2,2,0,0,5,7,2,2,0,0,0,0,0,1414,0,79,1493,3113
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,56,2,2,166,23,16,15,7,27,21,322,20,16,27,17,6,15,2,0,0,1,1,1,0,0,0,4,20,1,2,0,0,1,5,0,0,0,0,0,0,0,736,0,29,765,1351
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,57,2,2,189,22,3,7,9,19,11,281,31,18,47,22,6,2,0,1,0,1,0,0,0,0,0,1,7,1,0,0,0,1,1,2,0,0,0,0,0,0,682,0,23,705,1346
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,58,2,2,184,33,15,12,2,8,25,241,28,40,55,27,8,3,2,0,0,2,0,1,11,0,0,7,5,1,1,0,0,2,0,0,1,0,1,0,0,0,715,0,30,745,1433
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,59,5,5,362,54,29,17,10,45,49,614,75,23,54,55,45,5,2,0,0,3,1,1,0,1,0,25,27,4,0,2,13,3,2,0,1,0,0,0,0,0,1522,0,48,1570,3233
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,60,2,2,104,23,12,11,5,7,16,134,34,1,20,5,5,5,1,0,0,0,2,0,0,0,0,2,13,1,3,1,1,3,2,0,0,0,0,0,0,0,411,0,14,425,842
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,61,4,4,224,64,58,23,31,91,29,482,226,6,50,18,16,20,0,0,1,2,0,0,0,0,1,9,19,3,1,3,3,5,2,5,0,0,1,0,0,0,1393,0,56,1449,2652
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,62,4,4,491,75,76,43,20,28,24,417,30,4,44,32,20,51,4,2,1,6,4,10,1,0,0,3,20,3,0,3,0,2,2,1,0,0,0,0,0,0,1417,0,59,1476,2633
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,63,2,2,155,42,9,14,9,42,18,206,9,1,8,9,8,9,0,1,0,2,3,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,551,0,20,571,1037
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,64,2,2,118,24,9,16,12,24,16,186,15,3,12,10,9,11,0,0,0,1,1,0,0,0,0,0,7,1,1,0,2,2,0,1,0,0,0,0,0,0,481,0,24,505,875
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,65,3,3,77,14,5,19,3,22,43,233,76,7,120,10,14,1,6,0,0,6,0,2,1,0,0,21,29,3,4,3,1,1,9,1,23,1,0,0,0,0,755,0,24,779,1681
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,66,4,4,211,45,21,37,8,18,50,363,89,5,68,11,14,8,8,0,0,3,0,0,0,0,1,9,24,3,0,1,22,7,10,0,0,0,0,0,0,0,1036,0,52,1088,2194
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,67,3,3,336,77,32,19,10,20,47,329,55,9,32,29,29,7,2,0,0,4,2,0,1,2,1,5,16,5,0,1,2,5,2,1,2,1,2,0,0,0,1085,0,43,1128,1989
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,68,4,4,290,29,13,6,1,12,21,476,56,12,42,10,10,15,4,0,0,24,4,2,12,0,0,1,88,3,3,2,0,5,8,0,1,1,0,0,0,0,1151,0,42,1193,2328
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,69,2,2,194,33,14,12,3,11,28,263,87,21,28,11,7,3,0,0,0,2,0,0,0,0,0,13,10,6,1,0,0,4,2,1,1,16,0,0,0,0,771,0,25,796,1235
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,70,3,3,175,23,25,29,9,24,25,338,69,10,152,9,12,12,3,0,0,2,2,3,0,0,0,11,16,5,0,2,1,8,3,0,0,0,0,0,0,0,968,0,32,1000,1722
