CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,CANDIDATO,SEXO_CANDIDATO,RUTA_CONSTANCIA,PARTIDO
1,18,NAYARIT,,,15,SANTIAGO IXCUINTLA,8,SANTIAGO IXCUINTLA 08,REG,PVEM_PT_MORENA_FXMN,1,LEIDIANA RODRIGUEZ CECEÑA,2,,PVEM
1,18,NAYARIT,,,15,SANTIAGO IXCUINTLA,9,SANTIAGO IXCUINTLA 09,REG,PVEM_PT_MORENA_FXMN,1,JESUS SAMUEL RIVERA JIMENEZ,1,,PVEM
1,18,NAYARIT,,,16,TECUALA,1,TECUALA 01,REG,PVEM_PT_MORENA_FXMN,1,JUAN ALBERTO ZAMORA PEREZ,1,,MORENA
1,18,NAYARIT,,,16,TECUALA,2,TECUALA 02,REG,PVEM_PT_MORENA_FXMN,1,EFRAIN GONZALEZ MEDINA,1,,PT
1,18,NAYARIT,,,16,TECUALA,3,TECUALA 03,REG,PVEM_PT_MORENA_FXMN,1,HECTOR ANTONIO BENITEZ HUERTA,1,,FMXN
1,18,NAYARIT,,,16,TECUALA,4,TECUALA 04,REG,PVEM_PT_MORENA_FXMN,1,MARIA DEL SOCORRO NUÑO SANCHEZ,2,,PT
1,18,NAYARIT,,,16,TECUALA,5,TECUALA 05,REG,PVEM_PT_MORENA_FXMN,1,ANA EVELYN PEREZ GOMEZ,2,,PVEM
1,18,NAYARIT,,,16,TECUALA,6,TECUALA 06,REG,PVEM_PT_MORENA_FXMN,1,GERALDINE RODRIGUEZ HERNANDEZ,2,,MORENA
1,18,NAYARIT,,,16,TECUALA,7,TECUALA 07,REG,MC,1,SERGIO MENDOZA SERRANO,1,,MC
1,18,NAYARIT,,,17,TEPIC,1,TEPIC 01,REG,PVEM_PT_MORENA_FXMN,1,GRISELDA ARELY GUZMAN ESQUIVEL,2,,PT
1,18,NAYARIT,,,17,TEPIC,2,TEPIC 02,REG,PVEM_PT_MORENA_FXMN,1,ROMAN ROJAS RODRIGUEZ,1,,MORENA
1,18,NAYARIT,,,17,TEPIC,3,TEPIC 03,REG,PVEM_PT_MORENA_FXMN,1,EDGAR SAUL PAREDES FLORES,1,,MORENA
1,18,NAYARIT,,,17,TEPIC,4,TEPIC 04,REG,PVEM_PT_MORENA_FXMN,1,DANIELLA LETICIA PADILLA ESTRADA,2,,PT
1,18,NAYARIT,,,17,TEPIC,5,TEPIC 05,REG,PVEM_PT_MORENA_FXMN,1,OSCAR ISIDRO MEDINA LOPEZ,1,,MORENA
1,18,NAYARIT,,,17,TEPIC,6,TEPIC 06,REG,PVEM_PT_MORENA_FXMN,1,MARIEL CRISTINA LOPEZ MORA,2,,PVEM
1,18,NAYARIT,,,17,TEPIC,7,TEPIC 07,REG,PVEM_PT_MORENA_FXMN,1,ANGEL DE JESUS BECERRA VAZQUEZ,1,,MORENA
1,18,NAYARIT,,,17,TEPIC,8,TEPIC 08,REG,PVEM_PT_MORENA_FXMN,1,JOSE MARCO ANTONIO MARTINEZ PEREZ,1,,MORENA
1,18,NAYARIT,,,17,TEPIC,9,TEPIC 09,REG,PVEM_PT_MORENA_FXMN,1,MAYRA JACKELINE RODRIGUEZ NAVARRETE,2,,FMXN
1,18,NAYARIT,,,17,TEPIC,10,TEPIC 10,REG,PVEM_PT_MORENA_FXMN,1,IVAN PETROVICH LOPEZ MUÑOZ,1,,PVEM
1,18,NAYARIT,,,17,TEPIC,11,TEPIC 11,REG,PVEM_PT_MORENA_FXMN,1,GRISELDA ESPARZA FLORES,2,,MORENA
1,18,NAYARIT,,,18,TUXPAN,1,TUXPAN 01,REG,PVEM_PT_MORENA_FXMN,1,AARON ALBERTO OCEGUEDA BRISEÑO,1,,PVEM
1,18,NAYARIT,,,18,TUXPAN,2,TUXPAN 02,REG,PVEM_PT_MORENA_FXMN,1,ALEJANDRO LUNA ARVIZU,1,,PT
1,18,NAYARIT,,,18,TUXPAN,3,TUXPAN 03,REG,PVEM_PT_MORENA_FXMN,1,JOCSAN ABRAHAM MARTINEZ MONTOYA,1,,MORENA
1,18,NAYARIT,,,18,TUXPAN,4,TUXPAN 04,REG,RSPN,1,LUIS GUILLERMO GONZALEZ ORTIZ,1,,RSPN
1,18,NAYARIT,,,18,TUXPAN,5,TUXPAN 05,REG,PVEM_PT_MORENA_FXMN,1,ROSA OROZCO RUELAS,2,,MORENA
1,18,NAYARIT,,,18,TUXPAN,6,TUXPAN 06,REG,PVEM_PT_MORENA_FXMN,1,PERLA GUADALUPE PADILLA MEDINA,2,,MORENA
1,18,NAYARIT,,,18,TUXPAN,7,TUXPAN 07,REG,PVEM_PT_MORENA_FXMN,1,MANUELA IBAÑEZ MORALES,2,,MORENA
1,18,NAYARIT,,,19,XALISCO,1,XALISCO 01,REG,PVEM_PT_MORENA_FXMN,1,CESAR ALBERTO CASTAÑEDA HERNANDEZ,1,,MORENA
1,18,NAYARIT,,,19,XALISCO,2,XALISCO 02,REG,PVEM_PT_MORENA_FXMN,1,MARIA DEL ROSARIO RAMOS BELTRAN,2,,PT
1,18,NAYARIT,,,19,XALISCO,3,XALISCO 03,REG,PVEM_PT_MORENA_FXMN,1,IRMA LETICIA MONTES RENTERIA,2,,PVEM
1,18,NAYARIT,,,19,XALISCO,4,XALISCO 04,REG,PVEM_PT_MORENA_FXMN,1,JOSE EMMANUEL LOPEZ HERMOSILLO,1,,MORENA
1,18,NAYARIT,,,19,XALISCO,5,XALISCO 05,REG,PVEM_PT_MORENA_FXMN,1,MARTHA LETICIA ESQUEDA RIVERA,2,,MORENA
1,18,NAYARIT,,,19,XALISCO,6,XALISCO 06,REG,PVEM_PT_MORENA_FXMN,1,ARTEMIO SEMEJAR FLORES,1,,MORENA
1,18,NAYARIT,,,19,XALISCO,7,XALISCO 07,REG,PVEM_PT_MORENA_FXMN,1,CRISTOBAL GONZALEZ GUTIERREZ,1,,PVEM
1,18,NAYARIT,,,19,XALISCO,8,XALISCO 08,REG,PVEM_PT_MORENA_FXMN,1,RAUL LOPEZ UREÑA,1,,PT
1,18,NAYARIT,,,19,XALISCO,9,XALISCO 09,REG,PVEM_PT_MORENA_FXMN,1,ZULMA MARIBEL FLORES ZEPEDA,2,,PVEM
1,18,NAYARIT,,,20,LA YESCA,1,LA YESCA 01,REG,MC,1,MARIA TERESA ARELLANO RUIZ,2,,MC
1,18,NAYARIT,,,20,LA YESCA,2,LA YESCA 02,REG,PVEM_PT_MORENA_FXMN,1,MA. ERICA LAIJA DUEÑAS,2,,MORENA
1,18,NAYARIT,,,20,LA YESCA,3,LA YESCA 03,REG,PVEM_PT_MORENA_FXMN,1,ABIGAIL BUGARIN ,2,,PVEM
1,18,NAYARIT,,,20,LA YESCA,4,LA YESCA 04,REG,MC,1,ARMANDO ARTEAGA RIVERA,1,,MC
1,18,NAYARIT,,,20,LA YESCA,5,LA YESCA 05,REG,PVEM_PT_MORENA_FXMN,1,DAMIAN GONZALEZ PACHECO,1,,PT
1,18,NAYARIT,,,1,ACAPONETA,,,REG_RP,PRI,1,ELIGIO RAMIREZ RIVERA,1,,PRI
1,18,NAYARIT,,,1,ACAPONETA,,,REG_RP,MC,1,EDHER FRANED NORIEGA OCHOA,1,,MC
1,18,NAYARIT,,,1,ACAPONETA,,,REG_RP,MORENA,2,AIDA JETZABEL FONSECA MEDINA,2,,MORENA
