ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,VIDA_NL,ESO,LIBERAL,PESNL,JUSTICIALISTA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,30,HUALAHUISES,8,13,13,205,2026,31,20,11,1989,65,0,0,0,0,0,0,4347,0,139,4486,6568,
19,NUEVO LEON,31,ITURBIDE,4,7,7,48,24,7,49,25,1702,783,0,0,0,0,0,0,2638,0,104,2742,3299,
19,NUEVO LEON,32,JUAREZ,171,498,499,4300,28541,1059,3552,3066,66659,28225,0,601,0,343,225,0,136571,35,4438,141044,302856,
19,NUEVO LEON,33,LAMPAZOS DE NARANJO,4,9,9,2299,31,15,28,0,991,95,13,0,0,0,0,0,3472,0,141,3613,5240,
19,NUEVO LEON,34,LINARES,47,119,120,10491,1879,248,1540,647,2937,13499,251,260,0,0,0,0,31752,18,1480,33250,68797,
19,NUEVO LEON,35,MARIN,3,10,10,43,21,4,1624,9,1580,216,0,5,0,0,0,0,3502,0,138,3640,5319,
19,NUEVO LEON,36,MELCHOR OCAMPO,2,4,4,17,6,0,3,921,78,13,0,327,0,0,0,0,1365,0,88,1453,2087,
19,NUEVO LEON,37,MIER Y NORIEGA,9,14,14,1319,16,0,1729,33,1317,373,0,0,0,0,0,0,4787,0,148,4935,6927,
19,NUEVO LEON,38,MINA,7,11,11,171,180,9,52,71,2790,92,0,3,0,85,0,0,3453,2,137,3592,5093,
19,NUEVO LEON,39,MONTEMORELOS,42,99,100,1946,10656,455,871,1412,5493,4044,93,1211,0,0,0,0,26181,4,1153,27338,57739,
19,NUEVO LEON,40,MONTERREY,734,1642,1647,105165,103116,5667,9376,11129,175742,54813,79359,8867,0,0,750,0,553984,155,17853,571992,963363,
19,NUEVO LEON,41,PARAS,3,4,4,1255,0,0,1,0,493,10,2,0,0,0,0,0,1761,0,25,1786,2195,
19,NUEVO LEON,42,PESQUERIA,46,145,145,11507,443,130,866,492,13333,7999,0,0,116,0,0,0,34886,0,1302,36188,91887,
19,NUEVO LEON,43,LOS RAMONES,12,14,15,1133,57,17,328,881,25,124,449,0,0,134,0,0,3148,1,122,3271,5937,
19,NUEVO LEON,44,RAYONES,5,6,6,1714,58,9,4,13,483,84,0,2,0,0,0,0,2367,0,96,2463,3040,
19,NUEVO LEON,45,SABINAS HIDALGO,24,54,55,6980,471,133,2150,392,7389,582,12,120,0,0,0,0,18229,2,610,18841,30772,
19,NUEVO LEON,46,SALINAS VICTORIA,27,99,99,742,423,80,641,367,16599,2583,492,0,58,0,0,0,21985,20,927,22932,60909,
19,NUEVO LEON,47,SAN NICOLAS DE LOS GARZA,242,597,599,82822,8956,668,4357,3302,72726,37668,2546,0,0,548,0,0,213593,52,8006,221651,360374,
19,NUEVO LEON,48,SANTA CATARINA,107,365,367,42419,4109,1058,2641,2443,50458,19398,1068,0,0,929,0,0,124523,42,4542,129107,235982,
19,NUEVO LEON,49,SANTIAGO,25,75,76,4649,13839,433,330,585,2522,3582,0,0,97,0,0,0,26037,6,732,26775,44320,
19,NUEVO LEON,50,VALLECILLO,6,6,6,83,460,21,3,1040,38,11,0,0,0,0,0,0,1656,0,47,1703,2445,
19,NUEVO LEON,51,VILLALDAMA,5,7,7,7,31,0,975,0,1758,79,0,3,0,0,0,0,2853,0,49,2902,3841,
