ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAH,C_PAN_PRI_PRD,C_MORENA_NAH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,54,SAN SALVADOR,24,49,49,0,0,0,2566,1235,931,0,0,2098,10603,17433,29,1056,18518,28057,
13,HIDALGO,55,SANTIAGO DE ANAYA,19,29,29,0,0,0,1941,432,1328,0,0,839,4060,8600,12,576,9188,14066,
13,HIDALGO,56,SANTIAGO TULANTEPEC DE LUGO GUERRERO,11,44,44,0,0,0,645,1398,1144,0,0,4748,8270,16205,33,924,17162,28847,
13,HIDALGO,57,SINGUILUCAN,11,24,24,0,0,0,1584,632,707,0,0,1735,4567,9225,10,635,9870,13768,
13,HIDALGO,58,TASQUILLO,19,30,30,0,0,0,515,1349,451,0,0,928,5041,8284,8,624,8916,15330,
13,HIDALGO,59,TECOZAUTLA,25,51,51,0,0,0,2667,2605,1250,0,0,4014,5991,16527,2,991,17520,29419,
13,HIDALGO,60,TENANGO DE DORIA,14,26,27,0,0,0,745,954,2123,0,0,882,3424,8128,8,563,8699,13093,
13,HIDALGO,61,TEPEAPULCO,38,81,83,27,33,1,2196,3082,2999,107,6,6528,13231,28210,38,1515,29763,46963,
13,HIDALGO,62,TEPEHUACAN DE GUERRERO,33,47,48,0,0,0,1641,334,286,0,0,5139,6735,14135,21,820,14976,21386,
13,HIDALGO,63,TEPEJI DEL RIO DE OCAMPO,33,111,113,13,15,1,4795,7667,1921,104,0,5254,21756,41526,16,1772,43314,69049,
13,HIDALGO,64,TEPETITLAN,8,16,16,0,0,0,1454,290,408,0,0,1201,2671,6024,5,305,6334,8469,
13,HIDALGO,65,TETEPANGO,7,16,16,0,0,0,1699,1349,258,0,0,370,3141,6817,10,283,7110,9564,
13,HIDALGO,66,TEZONTEPEC DE ALDAMA,24,68,69,0,0,0,2888,1176,1905,0,0,8808,12839,27616,12,1425,29053,40537,
13,HIDALGO,67,TIANGUISTENGO,16,24,24,0,0,0,2848,245,142,0,0,500,4851,8586,14,358,8958,11534,
13,HIDALGO,68,TIZAYUCA,54,194,196,3,8,1,10486,3008,7572,31,0,15338,30652,67099,24,3068,70191,122820,
13,HIDALGO,69,TLAHUELILPAN,9,25,26,0,0,0,1738,996,787,0,0,1324,4649,9494,30,460,9984,14384,
13,HIDALGO,70,TLAHUILTEPA,17,21,21,0,0,0,1411,109,80,0,0,683,2586,4869,2,239,5110,7393,
13,HIDALGO,71,TLANALAPA,8,16,16,0,0,0,1003,583,385,0,0,1275,3022,6268,11,275,6554,9059,
13,HIDALGO,72,TLANCHINOL,26,55,57,45,13,0,3188,888,1195,106,7,4427,7710,17579,17,1671,19267,27038,
13,HIDALGO,73,TLAXCOAPAN,12,39,40,0,1,0,2326,1536,1504,5,0,2606,7423,15401,12,805,16218,23158,
13,HIDALGO,74,TOLCAYUCA,8,23,23,0,0,0,666,453,456,0,0,1804,5497,8876,4,334,9214,13816,
13,HIDALGO,75,TULA DE ALLENDE,52,151,154,5,3,0,11702,5155,4537,0,0,9621,26685,57708,47,2453,60208,92222,
13,HIDALGO,76,TULANCINGO DE BRAVO,63,219,222,14,20,1,10509,4131,6072,84,2,15006,38085,73924,92,4065,78081,138452,
13,HIDALGO,77,VILLA DE TEZONTEPEC,7,17,17,0,0,0,1297,982,988,0,0,833,2533,6633,2,321,6956,10463,
13,HIDALGO,78,XOCHIATIPAN,13,26,26,0,0,0,834,251,233,0,0,3347,5369,10034,13,893,10940,13893,
13,HIDALGO,79,XOCHICOATLAN,9,14,14,0,0,0,1936,65,362,0,0,218,1963,4544,1,167,4712,5787,
13,HIDALGO,80,YAHUALICA,15,36,36,0,0,0,1412,693,360,0,0,3591,6933,12989,16,1199,14204,19265,
13,HIDALGO,81,ZACUALTIPAN DE ANGELES,19,50,51,7,12,4,3468,902,1473,39,21,3815,6494,16235,25,826,17086,29025,
13,HIDALGO,82,ZAPOTLAN DE JUAREZ,8,28,28,0,0,0,1216,1377,1299,0,0,2455,5173,11520,2,478,12000,17645,
13,HIDALGO,83,ZEMPOALA,17,72,73,15,21,1,1828,1338,4413,64,3,6048,14188,27919,29,1237,29185,44419,
13,HIDALGO,84,ZIMAPAN,53,74,75,0,0,0,1584,2413,762,0,0,2712,10565,18036,35,1076,19147,32772,
