CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAH,C_PAN_PRI_PRD,C_MORENA_NAH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,954,15,15,0,0,0,287,363,815,0,0,2117,2728,6310,5,230,6545,9555
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,955,9,9,0,0,0,237,220,472,0,0,920,1894,3743,0,139,3882,5934
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,958,11,11,0,0,0,207,258,519,0,0,1378,2039,4401,3,168,4572,7043
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,959,8,8,0,0,0,177,159,373,0,0,582,1731,3022,5,153,3180,5516
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,960,19,19,0,0,0,447,419,958,0,0,2276,3491,7591,8,328,7927,13370
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,961,3,3,0,0,0,54,62,120,0,0,585,387,1208,0,39,1247,1580
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1715,2,2,0,0,0,29,26,63,0,0,125,240,483,3,24,510,760
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1716,2,2,0,0,0,79,47,143,0,0,288,515,1072,2,34,1108,1467
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1717,4,4,0,0,0,103,101,253,0,0,375,746,1578,1,55,1634,2506
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1719,2,2,0,0,0,32,36,73,0,0,127,217,485,0,30,515,810
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1720,1,1,0,0,0,23,14,68,0,0,142,207,454,0,22,476,710
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1721,2,2,0,0,0,59,47,123,0,0,200,395,824,0,32,856,838
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1722,1,1,0,0,0,16,26,80,0,0,188,201,511,0,16,527,737
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1723,1,1,0,0,0,26,24,56,0,0,148,157,411,0,18,429,652
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1724,2,2,0,0,0,37,28,64,0,0,134,259,522,1,25,548,870
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1725,1,1,0,0,0,38,22,73,0,0,130,207,470,1,19,490,740
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1726,1,1,0,0,0,18,13,48,0,0,92,149,320,0,9,329,486
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1727,2,2,0,0,0,27,37,64,0,0,173,245,546,1,20,567,805
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1728,1,1,0,0,0,29,22,56,0,0,136,188,431,0,17,448,640
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1729,1,1,0,0,0,26,35,55,0,0,102,213,431,0,20,451,661
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1730,1,1,0,0,0,26,19,46,0,0,101,167,359,0,18,377,585
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1731,1,1,0,0,0,28,13,48,0,0,87,123,299,0,11,310,429
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1732,1,1,0,0,0,25,26,71,0,0,109,165,396,2,20,418,635
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1733,2,2,0,0,0,29,27,60,0,0,112,245,473,1,14,488,753
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1734,1,1,0,0,0,23,12,35,0,0,63,147,280,0,15,295,418
