CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAH,C_PAN_PRI_PRD,C_MORENA_NAH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,336,B,1,0,B,0,0,0,0,22,53,22,0,0,82,237,416,2,33,451,662,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,336,C,1,0,C01,0,0,0,0,26,30,36,0,0,85,272,449,0,32,481,662,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,336,C,2,0,C02,0,0,0,0,18,40,45,0,0,73,254,430,0,17,447,662,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,337,B,1,0,B,0,0,0,0,23,29,22,0,0,88,191,353,0,18,371,502,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,338,B,1,0,B,0,0,0,0,20,32,25,0,0,125,191,393,0,18,411,546,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,339,B,1,0,B,0,0,0,0,18,19,17,0,0,89,128,271,0,14,285,409,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,339,C,1,0,C01,0,0,0,0,18,22,13,0,0,96,143,292,0,17,309,408,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,340,B,1,0,B,0,0,0,0,58,42,34,0,0,109,192,435,0,27,462,688,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,340,C,1,0,C01,0,0,0,0,57,30,47,0,0,82,219,435,0,22,457,688,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,340,C,2,0,C02,0,0,0,0,67,51,48,0,0,87,212,465,0,18,483,688,Acta casilla,,,
