CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
2,19,NUEVO LEON,,,5,ANAHUAC,,,REG_MR,PAN_PRI_PRD,1,STEPHANIE ARANDA LUNA,2,CANDIDATURAS DE PERSONAS JOVENES,,PRI
2,19,NUEVO LEON,,,5,ANAHUAC,,,REG_MR,PAN_PRI_PRD,2,DAVID ENRIQUE SANTOS IBARRA,1,,,PRI
2,19,NUEVO LEON,,,5,ANAHUAC,,,REG_MR,PAN_PRI_PRD,3,KARINA MARTINEZ LOPEZ,2,CANDIDATURAS DE PERSONAS JOVENES,,PRI
2,19,NUEVO LEON,,,5,ANAHUAC,,,REG_MR,PAN_PRI_PRD,4,ENRIQUE GARZA CELESTINO,1,CANDIDATURAS DE PERSONAS JOVENES,,PRI
2,19,NUEVO LEON,,,5,ANAHUAC,,,REG_MR,PAN_PRI_PRD,5,NALLELY ESPERANZA GOMEZ DOMINGUEZ,2,,,PRI
2,19,NUEVO LEON,,,5,ANAHUAC,,,REG_MR,PAN_PRI_PRD,6,ELEAZAR GARZA GARZA,1,CANDIDATURAS DE PERSONAS JOVENES,,PAN
2,19,NUEVO LEON,,,5,ANAHUAC,,,SIND_MR,PAN_PRI_PRD,1,MAYELA GUADALUPE MENDEZ MARCHAN,2,,,PRI
2,19,NUEVO LEON,,,5,ANAHUAC,,,SIND_MR,PAN_PRI_PRD,2,EDGAR ALFREDO ZAVALA ORTEGON,1,CANDIDATURAS DE PERSONAS JOVENES,,PRI
2,19,NUEVO LEON,,,6,APODACA,,,PRES_MUN,PAN_PRI_PRD,1,CESAR GARZA ARREDONDO,1,CANDIDATURAS DE PERSONAS JOVENES,,PRI
2,19,NUEVO LEON,,,6,APODACA,,,REG_MR,PAN_PRI_PRD,1,MAYRA ALEXANDRA MALDONADO SANTANA,2,CANDIDATURAS DE PERSONAS JOVENES,,PRI
2,19,NUEVO LEON,,,6,APODACA,,,REG_MR,PAN_PRI_PRD,2,JOSE LUIS SALDAÑA ROCHA,1,,,PRI
2,19,NUEVO LEON,,,6,APODACA,,,REG_MR,PAN_PRI_PRD,3,WENDY MONTSERRAT HERNANDEZ LOPEZ,2,CANDIDATURAS DE PERSONAS JOVENES,,PRI
2,19,NUEVO LEON,,,6,APODACA,,,REG_MR,PAN_PRI_PRD,4,SERGIO MARTIN ACOSTA RODRIGUEZ,1,,,PRI
2,19,NUEVO LEON,,,6,APODACA,,,REG_MR,PAN_PRI_PRD,5,NAYDY IVONNE VILLARREAL CHAPA,2,,,PRI
2,19,NUEVO LEON,,,6,APODACA,,,REG_MR,PAN_PRI_PRD,6,FERNANDO MANUEL CASTILLO MORENO,1,,,PRI
2,19,NUEVO LEON,,,6,APODACA,,,REG_MR,PAN_PRI_PRD,7,REMEDIOS BELTRAN ZACARIAS,2,,,PRI
2,19,NUEVO LEON,,,6,APODACA,,,REG_MR,PAN_PRI_PRD,8,JORGE LUIS DE LA GARZA TREVIÑO,1,,,PRI
2,19,NUEVO LEON,,,6,APODACA,,,REG_MR,PAN_PRI_PRD,9,ELISA JUDITH URBINA GARCIA,2,,,PRI
2,19,NUEVO LEON,,,6,APODACA,,,REG_MR,PAN_PRI_PRD,10,JAVIER ESPARZA VALDEZ,1,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,PRI
2,19,NUEVO LEON,,,6,APODACA,,,REG_MR,PAN_PRI_PRD,11,ARACELI FLORES SANCHEZ,2,,,PAN
2,19,NUEVO LEON,,,6,APODACA,,,REG_MR,PAN_PRI_PRD,12,MIGUEL ANGEL PORTILLO MARTINEZ,1,,,PAN
2,19,NUEVO LEON,,,6,APODACA,,,REG_MR,PAN_PRI_PRD,13,MARIA VICTORIA FRANCO DE LA CRUZ,2,,,PRD
2,19,NUEVO LEON,,,6,APODACA,,,SIND_MR,PAN_PRI_PRD,1,ANDREA ANALY ELIZONDO ZAMBRANO,2,CANDIDATURAS DE PERSONAS JOVENES,,PRI
2,19,NUEVO LEON,,,6,APODACA,,,SIND_MR,PAN_PRI_PRD,2,JUAN RUBEN RANGEL MORENO,1,,,PRI
2,19,NUEVO LEON,,,7,ARAMBERRI,,,PRES_MUN,MC,1,MARTIN CASTILLO COVARRUBIAS,1,,,MC
2,19,NUEVO LEON,,,7,ARAMBERRI,,,REG_MR,MC,1,PATRICIA ESTELA CERDA FLORES,2,,,MC
2,19,NUEVO LEON,,,7,ARAMBERRI,,,REG_MR,MC,2,JOSE DE JESUS DE LA ROSA SOTO,1,,,MC
2,19,NUEVO LEON,,,7,ARAMBERRI,,,REG_MR,MC,3,ANA ELENA CASTILLO VAZQUEZ,2,CANDIDATURAS DE PERSONAS JOVENES,,MC
2,19,NUEVO LEON,,,7,ARAMBERRI,,,REG_MR,MC,4,ENEDELIO BARBOZA MARTINEZ,1,,,MC
2,19,NUEVO LEON,,,7,ARAMBERRI,,,REG_MR,MC,5,SULMA ILIANA GUEVARA RODRIGUEZ,2,,,MC
2,19,NUEVO LEON,,,7,ARAMBERRI,,,REG_MR,MC,6,CASIMIRO ARREAZOLA CALDERON,1,,,MC
2,19,NUEVO LEON,,,7,ARAMBERRI,,,SIND_MR,MC,1,MARIA DE JESUS CASTILLO GUZMAN,2,,,MC
2,19,NUEVO LEON,,,7,ARAMBERRI,,,SIND_MR,MC,2,ADAN MENDEZ GALLEGOS,1,,,MC
2,19,NUEVO LEON,,,8,BUSTAMANTE,,,PRES_MUN,PAN_PRI_PRD,1,MARIO ALFONSO RESENDEZ GARZA,1,,,PAN
2,19,NUEVO LEON,,,8,BUSTAMANTE,,,REG_MR,PAN_PRI_PRD,1,MARIA LUISA SAUCEDA CRUZ,2,,,PAN
2,19,NUEVO LEON,,,8,BUSTAMANTE,,,REG_MR,PAN_PRI_PRD,2,GUADALUPE AGUILAR CUEVAS,1,,,PAN
2,19,NUEVO LEON,,,8,BUSTAMANTE,,,REG_MR,PAN_PRI_PRD,3,RAMONA ROSAURA GONZALEZ SALINAS,2,,,PAN
2,19,NUEVO LEON,,,8,BUSTAMANTE,,,REG_MR,PAN_PRI_PRD,4,RUDY ANTONIO ZAPATA RODRIGUEZ,1,,,PRI
2,19,NUEVO LEON,,,8,BUSTAMANTE,,,SIND_MR,PAN_PRI_PRD,1,JAZMIN AZUCENA MONSIVAIS NIETO,2,CANDIDATURAS DE PERSONAS JOVENES,,PAN
