CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1285,B,1,0,B,0,4,8,2,0,0,42,0,0,0,8,0,0,0,0,0,185,0,0,0,0,0,0,249,0,10,259,503,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1285,C,1,0,C01,0,7,9,1,0,0,50,0,0,0,9,0,0,0,0,0,175,0,0,0,0,0,0,251,0,10,261,502,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1286,B,1,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1286,C,1,0,C01,0,7,11,5,0,0,25,0,0,0,8,1,0,0,0,0,212,0,0,0,0,0,0,269,0,10,279,561,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1286,E,1,0,E01,0,6,24,2,0,0,15,0,0,0,12,0,1,0,0,0,201,0,0,0,0,0,0,261,0,6,267,442,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1286,E,1,1,E01C01,0,6,15,6,0,0,14,0,0,0,12,0,0,0,1,0,215,0,0,0,0,0,0,269,0,11,280,442,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1287,B,1,0,B,0,21,28,12,0,0,58,0,0,0,18,2,0,0,0,0,230,0,0,0,0,0,0,369,0,20,389,658,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1287,C,1,0,C01,0,20,20,12,0,0,72,0,0,0,12,0,0,0,0,0,226,0,0,0,0,0,0,362,0,18,380,658,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1290,B,1,0,B,0,14,22,6,0,0,48,0,0,0,48,2,0,0,0,0,202,0,0,0,0,0,0,342,0,11,353,679,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1290,C,1,0,C01,0,6,23,4,0,0,48,0,0,0,34,0,0,0,0,0,239,0,0,0,0,0,0,354,0,15,369,678,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1291,B,1,0,B,0,8,20,5,0,0,36,0,0,0,45,0,1,0,0,0,234,0,0,0,0,0,0,349,0,13,362,723,GRUPO DE RECUENTO,,,
