CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,26,SONORA,5,NOGALES,30,NOGALES,190,1,1,65,18,2,,,36,,,,5,4,5,0,0,,116,30,,,,,,281,0,5,286,628
1,26,SONORA,5,NOGALES,30,NOGALES,191,2,2,64,28,5,,,38,,,,11,4,0,0,0,,252,56,,,,,,458,0,17,475,1193
1,26,SONORA,5,NOGALES,30,NOGALES,192,4,4,63,41,5,,,82,,,,28,11,0,0,0,,647,166,,,,,,1043,0,46,1089,2840
1,26,SONORA,5,NOGALES,30,NOGALES,193,3,3,70,29,10,,,59,,,,14,2,0,0,0,,376,100,,,,,,660,0,14,674,1890
1,26,SONORA,5,NOGALES,30,NOGALES,194,3,3,52,23,7,,,58,,,,16,5,3,0,0,,387,132,,,,,,683,0,19,702,1975
1,26,SONORA,5,NOGALES,30,NOGALES,195,2,2,54,19,3,,,35,,,,6,6,1,3,0,,154,61,,,,,,342,0,14,356,979
1,26,SONORA,5,NOGALES,30,NOGALES,196,2,2,56,22,4,,,49,,,,6,9,0,0,0,,160,60,,,,,,366,0,13,379,1018
1,26,SONORA,5,NOGALES,30,NOGALES,197,1,1,12,15,0,,,15,,,,3,3,0,0,0,,79,15,,,,,,142,0,5,147,347
1,26,SONORA,5,NOGALES,30,NOGALES,198,2,2,59,26,5,,,59,,,,19,9,1,1,0,,205,55,,,,,,439,0,17,456,1169
1,26,SONORA,5,NOGALES,30,NOGALES,199,3,3,43,27,4,,,78,,,,15,3,0,1,0,,464,106,,,,,,741,0,36,777,2093
