ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,SONORA,20,GRANADOS,1,2,2,18,161,5,54,40,486,89,31,31,2,,,,,,,917,1,15,933,1132,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_GRANADOS.pdf
26,SONORA,61,GUAYMAS,91,213,215,7446,6585,1600,7790,5665,4130,12746,4602,4602,2889,,,,,,,58055,44,1399,59498,123100,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_GUAYMAS.pdf
26,SONORA,49,HERMOSILLO,433,1116,1122,76367,67390,11742,29496,21451,41487,48268,17429,17429,7594,,,,,,,338653,281,8353,347287,681160,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_HERMOSILLO.pdf
26,SONORA,21,HUACHINERA,2,3,3,82,280,27,36,26,,58,21,20,399,,,,,,,949,0,20,969,1150,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_HUACHINERA.pdf
26,SONORA,22,HUASABAS,1,2,2,37,63,12,,,,,607,,24,,,,,,,743,0,18,761,1214,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_HUASABAS.pdf
26,SONORA,64,HUATABAMPO,41,104,105,9500,2047,555,4101,2982,2610,6711,2423,2423,481,,,,,,,33833,2,899,34734,60387,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_HUATABAMPO.pdf
26,SONORA,23,HUEPAC,2,3,3,298,140,12,134,97,1,220,79,79,3,,,,,,,1063,0,9,1072,1340,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_HUEPAC.pdf
26,SONORA,24,IMURIS,8,19,19,460,1479,24,,1335,1291,,,,769,,,,,,,5358,21,160,5539,10476,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_IMURIS.pdf
26,SONORA,48,LA COLORADA,5,6,6,81,807,33,17,12,899,28,10,10,301,,,,,,,2198,0,79,2277,2704,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_LA%20COLORADA.pdf
26,SONORA,25,MAGDALENA,15,44,45,5683,1374,350,420,305,134,686,247,247,,,,3931,,,,13377,0,403,13780,26227,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_MAGDALENA.pdf
