ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,SONORA,10,BACOACHI,2,3,4,,8,394,,491,162,,,,,,,,,,,,,,,,,1055,0,23,1078,1556,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_BACOACHI.pdf
26,SONORA,58,BACUM,13,30,31,410,869,3177,,,1383,,,,18,,,,,,3725,,,,,,,9582,5,325,9912,17736,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_BACUM.pdf
26,SONORA,11,BANAMICHI,2,3,3,615,,3,,,3,,,,1,,,,,,722,,,,,,,1344,0,27,1371,1693,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_BANAMICHI.pdf
26,SONORA,12,BAVIACORA,6,9,9,903,449,,,,798,,,,7,,,,,,430,,,,,,,2587,1,58,2646,3572,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_BAVIACORA.pdf
26,SONORA,13,BAVISPE,2,3,3,9,415,2,,,0,,,,0,1,6,0,0,,642,,,,,,,1075,0,10,1085,1322,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_BAVISPE.pdf
26,SONORA,71,BENITO JUAREZ,12,27,28,33,1249,27,522,56,577,2808,,2586,1571,,,,,,,,,,,,,9429,0,454,9883,16548,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_BENITO%20JUAREZ.pdf
26,SONORA,14,BENJAMIN HILL,4,8,8,733,213,,,,60,,,,503,,,,,,750,,,,,,,2259,0,65,2324,3761,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_BENJAMIN%20HILL.pdf
26,SONORA,46,CABORCA,36,110,111,3159,3425,465,,,878,,,,480,348,108,23,9,,20820,,,,,,,29715,4,818,30537,67684,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_CABORCA.pdf
26,SONORA,59,CAJEME,237,577,580,14431,22595,2762,,,14584,,,,3953,2264,507,78,60,,102111,,,,,,,163345,69,3755,167169,330895,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_CAJEME.pdf
26,SONORA,15,CANANEA,19,53,54,2245,1376,173,,,3286,,,,464,167,58,10,5,,5904,,,,,,,13688,17,381,14086,31011,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_CANANEA.pdf
26,SONORA,47,CARBO,2,6,6,14,35,735,,,146,,,,19,,,,,,1345,,,,,,,2294,0,74,2368,3911,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_CARBO.pdf
26,SONORA,16,CUCURPE,1,2,2,,,337,,,,,,,,,,,,,487,,,,,,,824,0,0,824,1009,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_CUCURPE.pdf
26,SONORA,17,CUMPAS,8,12,12,288,675,71,1237,,920,,,,53,193,38,6,9,,,,,,,,,3490,1,75,3566,5686,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_CUMPAS.pdf
26,SONORA,18,DIVISADEROS,1,2,2,,1,,,,471,,,,,,,,,,615,,,,,,,1087,0,7,1094,1332,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_DIVISADEROS.pdf
26,SONORA,60,EMPALME,30,72,72,866,438,2008,,,3758,,,,837,,,,,,10438,,,,,,,18345,38,606,18989,41658,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_EMPALME.pdf
26,SONORA,63,ETCHOJOA,40,83,84,196,923,146,,,6254,,,,2461,87,3,5,0,,12581,0,2199,0,0,0,0,24855,32,863,25750,46371,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_ETCHOJOA.pdf
26,SONORA,19,FRONTERAS,5,13,13,,,,,,1890,,,,,,,,,845,1572,,,,,,,4307,2,99,4408,6884,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_FRONTERAS.pdf
26,SONORA,70,GENERAL PLUTARCO ELIAS CALLES,8,19,19,,,,,,859,,,,2068,,,,,870,2043,,,,,,,5840,0,144,5984,10737,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_GENERAL%20PLUTARCO%20ELIAS%20CALLES.pdf
26,SONORA,20,GRANADOS,1,2,2,16,159,4,,,486,,,,2,3,2,0,0,,245,,,,,,,917,1,15,933,1132,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_GRANADOS.pdf
26,SONORA,61,GUAYMAS,91,213,215,7042,6191,1270,,,4130,,,,2889,915,162,36,15,,35405,,,,,,,58055,44,1399,59498,123100,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_GUAYMAS.pdf
26,SONORA,49,HERMOSILLO,433,1116,1122,72693,63719,8071,,,41487,,,,7594,8446,2150,236,184,,134073,,,,,,,338653,281,8353,347287,681160,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_HERMOSILLO.pdf
26,SONORA,21,HUACHINERA,2,3,3,61,258,8,,,,,,,399,54,6,0,2,,161,,,,,,,949,0,20,969,1150,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_HUACHINERA.pdf
26,SONORA,22,HUASABAS,1,2,2,36,61,11,,,,,607,,24,3,1,0,0,,,,,,,,,743,0,18,761,1214,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_HUASABAS.pdf
26,SONORA,64,HUATABAMPO,41,104,105,9230,1791,354,,,2610,,,,481,550,140,32,5,,18640,,,,,,,33833,2,899,34734,60387,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_HUATABAMPO.pdf
26,SONORA,23,HUEPAC,2,3,3,280,125,6,,,1,,,,3,19,19,1,0,,609,,,,,,,1063,0,9,1072,1340,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_HUEPAC.pdf
26,SONORA,24,IMURIS,8,19,19,460,1479,24,,1335,1291,,,,769,,,,,,,,,,,,,5358,21,160,5539,10476,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_IMURIS.pdf
