CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_RSP_PANALT,MORENA_PANALT,MORENA_RSP,RSP_PANALT,CAND_IND01,CAND_IND02,CAND_IND03,CAND_IND04,CAND_IND05,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,URNA_ELECTRONICA,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,567,B,1,0,B,2,80,28,3,43,28,3,83,19,43,0,0,0,0,0,0,0,0,0,0,0,0,332,21,353,0,511,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,567,C,1,0,C01,6,100,33,6,68,28,1,18,2,25,4,3,0,0,0,0,0,0,0,0,0,0,294,31,325,0,511,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,567,C,2,0,C02,9,56,17,7,58,18,8,102,8,18,4,3,0,0,0,0,0,0,0,0,0,0,308,27,335,0,510,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,568,B,1,0,B,8,13,42,33,39,40,3,147,6,9,15,1,0,0,0,0,0,0,0,0,0,0,356,18,374,0,549,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,568,C,1,0,C01,5,53,62,5,78,36,2,78,9,10,5,2,0,0,0,0,0,0,0,0,0,0,345,20,365,0,549,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,568,C,2,0,C02,13,46,47,15,59,27,3,106,9,18,1,0,0,0,0,0,0,0,0,0,0,0,344,20,364,0,549,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,569,B,1,0,B,6,70,15,10,68,21,5,89,2,8,2,0,0,0,0,0,0,0,0,0,0,0,296,15,311,0,532,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,569,E,1,0,E01,7,81,106,12,79,22,4,76,11,16,4,0,0,0,0,0,0,0,0,0,0,0,418,23,441,0,683,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,570,B,1,0,B,8,8,6,97,25,28,18,124,69,0,0,5,0,0,0,0,0,0,0,85,54,0,527,16,543,0,744,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,570,C,1,0,C01,1,17,6,97,20,40,25,110,83,0,0,0,0,0,0,0,0,0,0,55,52,0,506,11,517,0,744,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,570,C,2,0,C02,11,26,7,85,14,36,18,120,84,0,1,0,0,0,0,0,0,0,0,79,40,0,521,21,542,0,743,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,570,C,3,0,C03,12,14,6,96,25,39,17,138,80,0,0,0,0,0,0,0,0,0,0,61,39,0,527,17,544,0,743,ACTA CASILLA,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,571,B,1,0,B,3,8,2,86,14,21,9,73,58,0,0,3,0,0,0,0,0,0,0,110,44,0,431,15,446,0,602,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,571,C,1,0,C01,15,15,5,68,18,29,7,72,58,0,2,1,0,0,0,0,0,0,0,110,27,0,427,10,437,0,602,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,571,C,2,0,C02,4,11,5,63,18,38,9,70,57,0,1,0,0,0,0,0,0,0,0,138,37,0,451,12,463,0,602,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,572,B,1,0,B,5,9,2,63,30,23,8,66,96,0,1,0,0,0,0,0,0,0,0,127,42,0,472,7,479,0,643,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,572,C,1,0,C01,4,14,6,89,28,32,8,47,104,0,0,1,0,0,0,0,0,0,0,79,48,0,460,11,471,0,642,GRUPO DE RECUENTO,,,
