CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCION,CASILLAS,ACTA_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUMERO_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,160,BARRIO DE CRISTO,638,3,3,127,87,4,97,78,26,11,206,61,108,226,0,0,0,0,0,1031,37,1068,1532
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,160,BARRIO DE CRISTO,639,2,2,75,119,2,102,55,16,7,175,36,117,160,0,0,0,0,0,864,26,890,1206
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,160,BARRIO DE CRISTO,640,2,2,120,55,1,48,80,18,6,84,31,28,168,0,0,0,0,0,639,21,660,906
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,160,BARRIO DE CRISTO,641,2,2,52,42,0,28,73,18,10,98,72,36,152,0,0,0,0,0,581,22,603,900
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,161,BARRIO DE SAN NICOLAS,351,6,6,323,40,335,36,979,360,16,682,0,219,0,0,0,0,0,0,2990,123,3113,4490
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,161,BARRIO DE SAN NICOLAS,352,4,4,162,21,301,18,554,213,11,498,0,138,0,0,0,0,0,0,1916,73,1989,2848
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,162,BARRIO DE LA SANTISIMA,353,6,6,499,43,450,324,479,0,24,618,13,11,111,0,0,0,0,1,2572,91,2664,3814
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,163,BARRIO DE SAN MIGUEL,354,5,5,562,596,2,10,68,422,162,358,5,221,139,0,0,0,0,3,2545,85,2633,3548
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,164,BARRIO DE JESUS,355,4,4,198,359,102,259,479,0,0,354,212,7,19,0,0,0,0,0,1989,58,2047,2878
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,165,BARRIO DE SAN SEBASTIAN,356,6,6,39,453,34,535,237,463,57,408,30,9,664,0,0,0,0,0,2929,109,3038,4183
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,166,BARRIO DE SAN BARTOLOME,357,4,4,148,242,251,272,345,112,147,341,119,8,66,0,0,0,0,1,2051,77,2129,2964
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,166,BARRIO DE SAN BARTOLOME,358,5,5,215,212,365,172,462,160,222,417,223,11,84,0,0,0,0,2,2543,84,2629,3723
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,167,BARRIO DE SAN PEDRO,359,4,4,376,326,257,54,298,0,0,228,17,67,65,0,0,0,0,6,1688,115,1809,2723
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,167,BARRIO DE SAN PEDRO,360,4,4,514,342,161,58,242,0,0,208,12,30,62,0,0,0,0,2,1629,80,1711,2539
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,168,BARRIO DE TLALTEPANGO,361,5,5,69,571,16,247,316,105,7,370,606,6,14,0,0,0,0,0,2327,78,2405,3359
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,168,BARRIO DE TLALTEPANGO,622,4,4,17,285,6,258,222,43,7,234,459,3,8,0,0,0,0,0,1542,74,1616,2483
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,168,BARRIO DE TLALTEPANGO,623,4,4,49,202,13,232,256,66,9,248,399,10,12,0,0,0,0,8,1496,80,1584,2474
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,169,BARRIO DE SAN ISIDRO BUENSUCESO,363,7,7,532,358,16,189,858,0,103,563,0,30,0,0,0,0,0,0,2649,237,2886,5036
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,169,BARRIO DE SAN ISIDRO BUENSUCESO,364,4,4,255,188,14,120,732,0,76,309,0,13,0,0,0,0,0,2,1707,111,1820,2953
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,26,SANTA CRUZ TLAXCALA,170,SAN MIGUEL CONTLA,365,5,5,194,71,287,0,95,148,60,578,88,122,58,0,0,0,0,0,1701,100,1801,3101
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,26,SANTA CRUZ TLAXCALA,170,SAN MIGUEL CONTLA,366,4,4,103,136,110,0,57,143,71,455,89,486,102,0,0,0,0,1,1752,67,1820,2530
4,29,TLAXCALA,4,APIZACO,26,SANTA CRUZ TLAXCALA,170,SAN MIGUEL CONTLA,609,2,2,42,11,16,0,45,33,14,130,7,30,16,0,0,0,0,2,344,31,377,782
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,26,SANTA CRUZ TLAXCALA,171,SAN LUCAS TLACOCHCALCO,369,4,4,163,165,80,0,49,0,162,153,315,627,0,0,0,0,0,1,1714,75,1790,2529
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,26,SANTA CRUZ TLAXCALA,172,JESUS HUIZNAHUAC,370,2,2,252,175,54,0,69,11,14,128,161,62,5,0,0,0,0,2,931,27,960,1227
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,26,SANTA CRUZ TLAXCALA,173,GUADALUPE TLACHCO,371,4,4,296,296,295,0,46,0,76,327,105,584,0,0,0,0,0,4,2025,78,2107,2936
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,174,SECCION 1A TECAHUALOYA,378,3,3,97,144,0,419,100,0,92,515,83,0,0,0,0,0,0,0,1450,34,1484,1933
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,174,SECCION 1A TECAHUALOYA,384,3,3,136,196,0,564,68,0,30,343,136,0,0,0,0,0,0,1,1473,57,1531,1987
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,175,SECCION 2A TEOLOCHOLCO,379,4,4,361,0,80,325,431,0,0,559,201,0,0,0,0,0,0,2,1957,72,2031,2682
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,176,SECCION 3A BARRIO DE CONTLA,624,3,3,181,74,128,291,206,0,64,593,43,0,0,0,0,0,0,0,1580,62,1642,2196
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,176,SECCION 3A BARRIO DE CONTLA,625,4,4,198,34,93,332,247,0,153,533,56,0,0,0,0,0,0,0,1646,58,1704,2375
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,177,ACXOTLA DEL MONTE,381,3,3,250,0,110,248,74,0,214,276,279,0,0,0,0,0,0,0,1451,53,1504,2093
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,178,SECCION 5A ACTIPAC,382,3,3,96,0,147,533,100,0,0,282,114,0,0,0,0,0,0,1,1272,48,1321,1716
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,179,SECCION 6A CUAUHTLA,383,3,3,117,0,119,381,0,0,157,492,114,0,8,0,0,0,0,1,1388,46,1435,1766
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,180,CUAXINCA,385,1,1,0,138,130,5,0,0,0,82,0,0,0,0,0,0,0,0,355,4,359,416
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,181,EL CARMEN AZTAMA,386,4,4,0,300,0,500,395,0,0,584,0,0,0,0,0,0,0,3,1779,52,1834,2270
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,29,TEPEYANCO,182,SANTIAGO TLACOCHCALCO,390,2,2,0,107,152,126,0,2,103,97,126,0,0,0,0,0,0,0,713,28,741,976
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,29,TEPEYANCO,183,LA AURORA,393,2,2,190,0,150,18,221,0,0,0,119,0,8,0,0,0,0,0,706,22,728,973
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,29,TEPEYANCO,184,SAN COSME ATLAMAXAC,394,4,4,16,466,87,316,0,288,0,406,243,0,5,0,0,0,0,0,1827,50,1877,2267
