ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUMERO_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,37,NAZARETH,1,1,18,70,,,,4,49,19,,,67,,,,,0,227,12,239,314,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,38,SANTA CRUZ POCITOS,1,2,12,296,,28,10,282,,259,,,,,,,,0,887,35,922,1181,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,39,LOMAS DE JUNGUITO,1,1,93,76,,,,3,,1,,,,,,,,0,173,6,179,211,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,40,BARRIO DE SAN ANTONIO,1,2,212,,,45,54,28,151,685,,,32,,,,,0,1207,38,1245,1558,
29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,41,COLONIA ALFONSO ESPEJEL,1,7,,183,124,156,358,,113,737,256,93,547,,,,,1,2567,161,2729,4854,
29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,42,COLONIA EL MIRADOR,5,18,74,136,167,985,,,623,782,,67,41,,,,,3,2875,153,3031,4707,
29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,43,COLONIA FRANCISCO SARABIA,2,7,42,554,109,1029,,,450,559,,50,21,,,,,1,2814,131,2946,4445,
29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,44,SAN MATEO ACTIPAN,1,2,,33,120,135,,,30,147,,84,,,,,,3,549,19,571,824,
29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,45,SAN CRISTOBAL ZACACALCO,1,1,127,,12,6,,,133,93,27,,,,,,,0,398,20,418,557,
29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,46,BARRIO DE GUADALUPE,1,2,,,,,216,,246,328,,126,,,,,,0,916,47,963,1382,
29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,47,COLONIA MAZATEPEC,1,4,,,,,89,,783,704,,141,,,,,,2,1717,115,1834,2845,
