CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUMERO_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,4,APIZACO,3,APIZACO,7,SAN LUIS APIZAQUITO,14,C,5,0,C05,0,223,0,51,13,9,10,82,88,0,0,0,0,25,0,0,0,501,16,517,742,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,7,SAN LUIS APIZAQUITO,14,C,6,0,C06,0,203,0,67,3,6,4,63,106,0,1,0,0,21,0,0,0,474,26,500,742,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,2,TLAXCO DE MORELOS,3,APIZACO,8,COLONIA JOSE MARIA MORELOS,38,B,1,0,B,0,2,3,134,25,0,15,12,83,106,4,0,0,0,0,0,0,384,10,394,557,ACTA CASILLA,,,
4,29,TLAXCALA,2,TLAXCO DE MORELOS,3,APIZACO,8,COLONIA JOSE MARIA MORELOS,38,C,1,0,C01,0,6,3,141,52,0,7,0,48,106,0,0,0,0,0,0,0,363,25,388,557,ACTA CASILLA,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,9,GUADALUPE TEXCALAC,39,B,1,0,B,0,10,60,1,153,0,49,88,84,0,0,0,0,0,0,0,0,445,23,468,638,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,9,GUADALUPE TEXCALAC,39,C,1,0,C01,0,8,28,1,174,0,51,113,69,0,0,0,0,0,0,0,0,444,18,462,637,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,10,SANTA MARIA TEXCALAC,40,B,1,0,B,0,137,11,70,10,0,8,48,144,0,6,0,0,0,37,0,0,471,22,493,702,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,10,SANTA MARIA TEXCALAC,40,C,1,0,C01,0,145,12,74,7,0,3,24,144,0,1,0,0,0,36,0,0,446,16,462,702,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,10,SANTA MARIA TEXCALAC,40,C,2,0,C02,0,150,17,52,12,0,10,41,134,0,3,0,0,0,36,0,0,455,19,474,701,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,10,SANTA MARIA TEXCALAC,40,C,3,0,C03,0,112,19,85,17,0,12,24,163,0,3,0,0,0,29,0,0,464,14,478,701,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,10,SANTA MARIA TEXCALAC,618,B,1,0,B,0,103,8,109,9,0,0,17,87,0,2,0,0,0,54,0,0,389,13,402,543,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,10,SANTA MARIA TEXCALAC,618,C,1,0,C01,0,95,13,77,22,0,7,20,108,0,1,0,0,0,37,0,3,380,12,395,543,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,10,SANTA MARIA TEXCALAC,618,C,2,0,C02,0,112,12,84,26,0,3,31,106,0,2,0,0,0,20,0,1,396,8,405,542,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,10,SANTA MARIA TEXCALAC,619,B,1,0,B,0,103,21,91,11,0,0,11,92,0,1,0,0,0,36,0,0,366,18,384,628,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,10,SANTA MARIA TEXCALAC,619,C,1,0,C01,0,115,19,92,5,0,7,29,131,0,4,0,0,0,11,0,3,413,13,429,628,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,10,SANTA MARIA TEXCALAC,619,C,2,0,C02,0,117,13,91,7,0,11,25,131,0,1,0,0,0,20,0,2,416,12,430,627,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,11,SANTA ANITA HUILOAC,42,B,1,0,B,0,39,19,2,38,8,66,12,121,0,22,0,0,0,0,54,0,381,25,406,646,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,11,SANTA ANITA HUILOAC,43,B,1,0,B,0,37,29,2,39,19,51,34,148,0,8,0,0,0,0,68,0,435,21,456,692,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,11,SANTA ANITA HUILOAC,43,C,1,0,C01,0,59,36,0,30,14,58,43,91,0,11,0,0,0,0,67,0,409,23,432,692,ACTA CASILLA,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,11,SANTA ANITA HUILOAC,43,C,2,0,C02,0,60,22,3,51,16,67,28,105,0,5,0,0,0,0,67,1,424,16,441,692,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,11,SANTA ANITA HUILOAC,43,C,3,0,C03,0,59,25,5,31,13,86,30,93,0,9,0,0,0,0,80,0,431,23,454,692,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,11,SANTA ANITA HUILOAC,43,C,4,0,C04,0,70,19,3,44,17,80,22,96,0,7,0,0,0,0,72,0,430,14,444,692,ACTA CASILLA,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,11,SANTA ANITA HUILOAC,43,C,5,0,C05,0,48,33,5,59,7,67,39,87,0,8,0,0,0,0,90,0,443,17,460,692,GRUPO DE RECUENTO,,,
