CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,CAND_IND1,CAND_IND2,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,551,5,5,95,247,13,42,18,1005,465,4,21,24,6,,,3,34,6,9,2,1994,1,36,2031,3054
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,552,4,4,63,140,5,31,27,734,311,8,14,14,8,,,3,22,2,4,1,1387,0,33,1420,2266
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,553,5,5,43,134,6,57,36,1138,404,15,7,12,6,,,0,34,5,5,0,1902,0,53,1955,3720
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,39,3,3,41,144,4,27,27,679,336,8,5,4,5,,,0,24,7,3,2,1316,0,45,1361,2186
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,40,1,1,18,56,0,4,5,244,118,0,2,1,3,,,0,12,1,3,2,469,0,2,471,738
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,41,2,2,23,38,4,11,12,245,146,2,4,3,1,,,0,5,2,3,1,500,0,17,517,788
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,42,2,2,36,122,15,17,11,342,215,0,5,5,3,,,1,14,1,1,3,791,0,8,799,1113
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,43,2,2,36,95,2,15,15,334,181,2,13,1,1,,,0,18,2,1,0,716,0,22,738,995
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,44,2,2,32,72,3,9,15,252,166,3,6,5,2,,,4,13,4,5,0,591,0,19,610,857
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,45,2,2,33,84,3,16,8,224,152,2,15,2,5,,,1,9,0,3,3,560,1,11,572,773
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,60,2,2,38,67,3,13,13,280,194,1,5,5,2,,,0,12,1,4,0,638,1,16,655,944
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,61,2,2,24,73,3,19,7,296,140,3,4,4,2,,,0,12,1,1,2,591,0,14,605,858
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,62,2,2,17,46,1,8,8,135,98,1,2,1,0,,,0,7,2,2,1,329,0,9,338,1043
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,63,2,2,28,105,3,22,19,423,167,3,7,6,1,,,0,19,7,3,2,815,1,20,836,1352
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,64,2,2,50,68,4,17,13,378,216,6,7,8,2,,,4,24,0,4,1,802,0,24,826,1207
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,65,3,3,32,95,4,25,32,529,223,8,8,10,0,,,2,22,6,1,4,1001,1,46,1048,1755
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,66,2,2,17,93,3,14,17,338,204,3,8,13,3,,,1,14,6,4,0,738,0,20,758,1126
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,67,2,2,32,99,2,11,10,292,189,1,15,4,2,,,2,9,5,2,1,676,0,18,694,1001
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,79,11,11,182,398,12,88,66,2097,1029,21,32,29,13,,,6,59,10,16,10,4068,1,116,4185,7514
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,80,2,2,31,111,0,13,6,249,147,3,3,6,3,,,2,17,0,1,3,595,0,13,608,823
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,82,2,2,32,148,7,12,10,387,171,3,9,5,1,,,0,14,3,2,2,806,1,19,826,1221
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,83,7,7,165,382,12,57,65,1401,743,15,47,46,10,,,6,50,14,4,4,3021,0,87,3108,5164
