CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,CAND_IND1,CAND_IND2,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,79,C,3,0,C03,0,18,39,0,7,4,198,101,2,4,2,1,,,0,5,0,4,1,386,0,6,392,722,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0079C3-CIPR.pdf
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,79,C,4,0,C04,0,24,41,1,4,5,216,80,1,2,2,2,,,3,4,2,0,0,387,0,19,406,722,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0079C4-AEC.pdf
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,79,C,5,0,C05,0,22,39,0,7,4,213,90,2,4,0,3,,,1,6,0,0,1,392,0,9,401,722,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0079C5-CIPR.pdf
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,79,C,6,0,C06,0,15,32,1,7,4,220,99,1,6,6,2,,,0,4,0,1,1,399,0,9,408,722,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0079C6-CIPR.pdf
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,79,C,7,0,C07,0,12,27,1,5,5,197,110,1,2,1,2,,,1,5,1,1,2,373,0,13,386,722,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0079C7-CIPR.pdf
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,79,E,1,0,E01,0,13,37,1,10,7,153,89,1,4,1,2,,,0,7,1,2,1,329,0,7,336,579,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0079E1-CIPR.pdf
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,79,E,1,1,E01C01,0,14,31,2,7,7,154,76,4,4,2,0,,,0,8,1,1,1,312,1,7,320,579,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0079E1C1-CIPR.pdf
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,79,E,1,2,E01C02,0,8,45,2,7,8,146,75,1,2,5,0,,,0,8,1,5,0,313,0,13,326,578,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0079E1C2-CIPR.pdf
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,80,B,1,0,B,0,22,54,0,3,4,125,65,2,2,4,2,,,2,9,0,0,3,297,0,6,303,412,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0080B-AEC.pdf
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,80,C,1,0,C01,0,9,57,0,10,2,124,82,1,1,2,1,,,0,8,0,1,0,298,0,7,305,411,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0080C1-CIPR.pdf
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,82,B,1,0,B,0,14,80,3,3,5,180,87,1,7,2,1,,,0,4,0,1,0,388,0,6,394,611,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0082B-AEC.pdf
