ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,75,TEABO,2,8,8,1533,29,0,0,1287,0,1419,0,4268,0,98,4366,5147,
31,YUCATAN,76,TECOH,10,22,22,4519,83,1602,210,152,0,2731,714,10011,14,415,10440,13368,
31,YUCATAN,77,TEKAL DE VENEGAS,2,4,4,1007,5,0,15,17,2,996,6,2048,0,17,2065,2357,
31,YUCATAN,78,TEKANTO,6,8,8,963,138,0,32,53,0,1702,10,2898,1,30,2929,3249,
31,YUCATAN,79,TEKAX,21,54,54,8500,926,247,409,1045,0,10674,384,22185,124,850,23159,32682,
31,YUCATAN,80,TEKIT,4,14,14,3823,17,0,0,0,0,3560,0,7400,1,104,7505,8485,
31,YUCATAN,81,TEKOM,4,6,6,690,1500,0,0,0,0,182,12,2384,1,57,2442,2757,
31,YUCATAN,82,TELCHAC PUEBLO,4,6,6,39,1279,0,3,1242,0,67,0,2630,0,68,2698,3088,
31,YUCATAN,83,TELCHAC PUERTO,2,4,4,192,902,0,23,20,16,849,0,2002,0,50,2052,2310,
31,YUCATAN,84,TEMAX,6,11,11,2300,72,0,11,2226,0,171,6,4786,0,98,4884,5575,
31,YUCATAN,85,TEMOZON,8,21,21,302,15,25,89,0,457,5619,4172,10679,0,315,10994,12519,
31,YUCATAN,86,TEPAKAN,3,4,4,807,1,864,7,10,0,64,1,1754,0,64,1818,1996,
31,YUCATAN,87,TETIZ,2,7,7,110,1345,0,17,1831,0,46,2,3351,0,100,3451,4082,
31,YUCATAN,88,TEYA,2,3,3,330,1,0,0,0,450,640,0,1421,0,64,1485,1749,
31,YUCATAN,89,TICUL,16,50,50,9305,485,61,562,571,96,10521,136,21737,8,611,22356,30392,
31,YUCATAN,90,TIMUCUY,3,10,10,1569,2640,0,0,0,0,979,0,5188,0,101,5289,5819,
31,YUCATAN,91,TINUM,7,16,16,1986,40,0,2147,59,0,1340,586,6158,0,140,6298,9431,
31,YUCATAN,92,TIXCACALCUPUL,4,9,9,732,1471,0,111,97,0,2307,0,4718,3,61,4782,5470,
31,YUCATAN,93,TIXKOKOB,10,24,24,3494,88,17,152,1745,996,3070,1697,11259,1,355,11615,14534,
31,YUCATAN,94,TIXMEHUAC,4,7,7,95,2575,2,399,21,0,666,2,3760,0,19,3779,4201,
31,YUCATAN,95,TIXPEHUAL,6,9,9,706,479,251,303,38,442,1253,340,3812,2,152,3966,4661,
31,YUCATAN,96,TIZIMIN,41,101,101,13776,2208,0,1504,1477,0,22730,308,42003,3,1004,43010,59536,
31,YUCATAN,97,TUNKAS,4,7,7,1496,0,0,0,13,0,654,425,2588,0,63,2651,3108,
31,YUCATAN,98,TZUCACAB,8,17,17,856,161,12,3891,2166,67,1661,14,8828,2,189,9019,11174,
31,YUCATAN,99,UAYMA,3,5,5,171,1079,147,0,48,0,1607,0,3052,0,35,3087,3268,
31,YUCATAN,100,UCU,2,5,5,812,35,217,273,54,0,494,692,2577,5,105,2687,3237,
31,YUCATAN,101,UMAN,21,79,79,6876,326,406,883,717,10510,10952,368,31038,9,1109,32156,49785,
31,YUCATAN,102,VALLADOLID,33,99,99,9772,2070,0,0,1631,483,19830,7388,41174,5,921,42100,61368,
31,YUCATAN,103,XOCCHEL,2,5,5,1033,3,12,30,66,0,1255,0,2399,1,19,2419,2719,
31,YUCATAN,104,YAXCABA,11,21,21,5026,735,25,2740,56,0,644,0,9226,0,295,9521,11690,
31,YUCATAN,105,YAXKUKUL,1,4,4,579,2,0,762,2,0,22,966,2333,1,74,2408,2780,
31,YUCATAN,106,YOBAIN,3,4,4,881,24,0,0,0,0,969,29,1903,0,19,1922,2146,
