ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_PRD_NAY,PAN_PRI_PRD,PAN_PRI_NAY,PAN_PRD_NAY,PRI_PRD_NAY,PAN_PRI,PAN_PRD,PAN_NAY,PRI_PRD,PRI_NAY,PRD_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,32,ESPITA,8,19,19,2852,390,0,3299,96,0,2192,38,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8876,1,183,9060,12156,
31,YUCATAN,33,HALACHO,10,26,26,4612,428,0,117,381,2635,2963,1512,0,0,0,0,0,0,0,0,0,32,0,0,0,30,0,12710,0,342,13052,16044,
31,YUCATAN,34,HOCABA,5,10,10,143,1744,6,0,0,19,2200,5,0,29,0,0,0,23,0,0,3,0,0,0,0,0,0,4172,0,92,4264,4984,
31,YUCATAN,35,HOCTUN,5,10,10,111,5,2018,0,49,15,2211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4432,1,119,4552,5132,
31,YUCATAN,36,HOMUN,6,11,11,605,2218,8,304,54,0,1912,202,0,0,48,0,0,64,0,2,0,7,0,46,18,19,3,5510,7,169,5686,6470,
31,YUCATAN,37,HUHI,3,8,8,997,1174,0,857,22,0,564,4,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,3633,0,82,3715,4346,
31,YUCATAN,38,HUNUCMA,16,42,42,4523,310,877,1559,3422,0,4881,2761,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,18452,5,680,19137,26413,
31,YUCATAN,39,IXIL,2,6,6,755,112,0,99,1022,41,857,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,2912,0,59,2971,3400,
31,YUCATAN,40,IZAMAL,15,38,38,1955,0,0,208,647,0,7637,0,0,0,0,0,0,0,0,0,0,0,0,444,88,138,163,11280,15,372,11667,21687,
31,YUCATAN,41,KANASIN,29,129,129,24273,593,401,1066,567,861,16140,845,0,0,0,0,0,0,0,546,0,0,0,1159,150,323,127,47051,25,1638,48714,87400,
31,YUCATAN,42,KANTUNIL,3,7,7,746,974,0,507,21,0,844,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3457,0,87,3544,4223,
31,YUCATAN,43,KAUA,1,4,4,8,1266,0,0,0,0,1101,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377,0,30,2407,2586,
31,YUCATAN,44,KINCHIL,4,10,10,1305,44,5,1659,670,0,701,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4723,0,227,4950,5527,
31,YUCATAN,45,KOPOMA,2,4,4,429,479,0,8,23,0,793,47,0,0,0,0,0,0,0,0,0,0,0,15,2,3,3,1802,0,29,1831,2163,
31,YUCATAN,46,MAMA,2,5,5,1329,783,2,8,5,0,130,4,0,0,0,0,0,0,0,3,2,0,0,0,1,0,2,2269,0,62,2331,2627,
31,YUCATAN,47,MANI,3,8,8,2582,97,0,29,39,0,916,11,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,3686,1,84,3771,4534,
31,YUCATAN,48,MAXCANU,12,32,32,2748,273,0,5727,180,0,4356,515,0,0,0,0,0,0,0,0,0,22,0,0,0,0,75,13896,0,393,14289,18241,
31,YUCATAN,49,MAYAPAN,2,5,5,1190,439,0,23,46,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2679,0,43,2722,2992,
31,YUCATAN,50,MERIDA,501,1316,1316,222429,23069,2684,11374,8001,35891,167839,3244,0,0,4586,0,0,4770,0,283,0,95,0,12928,674,2532,2037,502436,315,12111,514862,782863,
31,YUCATAN,51,MOCOCHA,4,5,5,511,1367,0,0,0,0,692,41,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2624,0,51,2675,2960,
31,YUCATAN,52,MOTUL,19,49,49,8866,2463,38,764,243,996,6624,107,0,0,0,0,0,0,0,0,0,19,0,360,50,98,52,20680,5,780,21465,28192,
31,YUCATAN,53,MUNA,7,18,18,2666,286,35,69,48,144,1213,3127,0,0,0,0,0,0,0,0,0,57,0,53,6,15,6,7725,162,374,8261,10528,
