CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_PRD_NAY,PAN_PRI_PRD,PAN_PRI_NAY,PAN_PRD_NAY,PRI_PRD_NAY,PAN_PRI,PAN_PRD,PAN_NAY,PRI_PRD,PRI_NAY,PRD_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,31,YUCATAN,7,MERIDA,50,MERIDA,1100,1,1,96,17,2,9,9,37,207,1,0,0,2,0,0,3,0,1,0,0,0,12,1,3,3,403,0,11,414,696
3,31,YUCATAN,7,MERIDA,50,MERIDA,1101,2,2,167,20,2,21,10,62,251,6,0,0,3,0,0,5,0,0,0,0,0,22,3,5,2,579,0,15,594,965
3,31,YUCATAN,7,MERIDA,50,MERIDA,1102,2,2,168,16,5,14,10,35,211,6,0,0,2,0,0,9,0,0,0,0,0,12,0,3,2,493,0,12,505,779
3,31,YUCATAN,7,MERIDA,50,MERIDA,1103,2,2,161,31,4,17,16,50,252,1,0,0,2,0,0,2,0,0,0,0,0,22,1,8,4,571,0,20,591,919
3,31,YUCATAN,7,MERIDA,50,MERIDA,1104,2,2,170,26,6,17,10,49,279,3,0,0,6,0,0,2,0,0,0,0,0,33,1,1,3,606,0,15,621,1024
3,31,YUCATAN,7,MERIDA,50,MERIDA,1105,1,1,35,11,0,5,6,13,93,2,0,0,2,0,0,1,0,1,0,0,0,5,1,0,1,176,0,10,186,302
3,31,YUCATAN,7,MERIDA,50,MERIDA,1106,2,2,160,19,0,12,15,36,190,3,0,0,7,0,0,2,0,0,0,0,0,16,0,3,3,466,0,14,480,773
3,31,YUCATAN,8,MERIDA,50,MERIDA,1107,3,3,210,23,7,35,23,45,396,3,0,0,1,0,0,6,0,1,0,0,0,20,3,6,5,784,1,36,821,1516
3,31,YUCATAN,8,MERIDA,50,MERIDA,1108,9,9,2655,171,22,72,51,347,1016,24,0,0,39,0,0,46,0,1,0,0,0,76,0,8,8,4536,2,70,4608,6685
3,31,YUCATAN,8,MERIDA,50,MERIDA,1109,5,5,1126,91,10,40,22,145,425,14,0,0,13,0,0,28,0,3,0,0,0,37,1,2,7,1964,3,39,2006,2699
3,31,YUCATAN,8,MERIDA,50,MERIDA,1111,2,2,74,24,1,27,20,37,266,6,0,0,1,0,0,2,0,0,0,0,0,10,2,4,2,476,0,28,504,936
3,31,YUCATAN,8,MERIDA,50,MERIDA,1112,4,4,259,38,7,44,32,74,590,8,0,0,11,0,0,8,0,0,0,0,0,37,1,9,4,1122,0,20,1142,2273
3,31,YUCATAN,8,MERIDA,50,MERIDA,1113,2,2,218,29,6,16,8,67,317,5,0,0,7,0,0,4,0,0,0,0,0,12,1,3,2,695,0,11,706,1266
3,31,YUCATAN,8,MERIDA,50,MERIDA,1114,10,10,1569,126,15,99,81,465,1647,35,0,0,23,0,0,19,0,0,0,0,0,100,1,16,19,4215,4,90,4309,7207
3,31,YUCATAN,8,MERIDA,50,MERIDA,1115,2,2,227,22,2,26,14,63,342,3,0,0,4,0,0,5,0,0,0,0,0,19,2,6,4,739,0,22,761,1256
3,31,YUCATAN,8,MERIDA,50,MERIDA,1116,2,2,229,34,6,27,10,64,318,6,0,0,5,0,0,2,0,0,0,0,0,22,1,3,5,732,0,22,754,1243
3,31,YUCATAN,8,MERIDA,50,MERIDA,1117,3,3,285,20,1,22,8,88,457,6,0,0,10,0,0,11,0,1,0,0,0,36,0,8,7,960,1,24,985,1723
3,31,YUCATAN,8,MERIDA,50,MERIDA,1118,3,3,352,35,4,32,15,88,409,9,0,0,11,0,0,4,0,0,0,0,0,30,1,5,4,999,1,21,1021,1691
3,31,YUCATAN,8,MERIDA,50,MERIDA,1119,2,2,296,41,6,25,15,83,327,2,0,0,7,0,0,8,0,0,0,0,0,22,1,3,3,839,0,24,863,1426
