ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_PRD_NAY,PAN_PRI_PRD,PAN_PRI_NAY,PAN_PRD_NAY,PRI_PRD_NAY,PAN_PRI,PAN_PRD,PAN_NAY,PRI_PRD,PRI_NAY,PRD_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,52,MOTUL,19,49,49,8866,0,38,0,0,996,0,0,0,0,0,0,0,0,0,0,0,2589,0,8191,0,0,0,20680,5,780,21465,28192,
31,YUCATAN,53,MUNA,7,18,18,2666,0,35,0,0,144,0,0,0,0,0,0,0,0,0,0,0,3470,0,1410,0,0,0,7725,162,374,8261,10528,
31,YUCATAN,54,MUXUPIP,3,5,5,0,0,19,0,0,6,0,0,0,0,0,0,0,1002,0,0,0,0,0,1206,0,0,0,2233,0,25,2258,2519,
31,YUCATAN,55,OPICHEN,3,8,8,2639,13,0,0,0,0,1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4534,3,71,4608,5416,
31,YUCATAN,56,OXKUTZCAB,16,41,41,0,0,67,0,0,100,0,0,0,0,8406,0,0,0,0,0,0,0,0,7828,0,0,0,16401,11,512,16924,24194,
31,YUCATAN,57,PANABA,6,11,11,0,0,0,0,0,0,2624,0,0,0,2609,0,0,0,0,0,0,0,0,0,0,0,0,5233,1,67,5301,6083,
31,YUCATAN,58,PETO,17,31,31,1971,1713,0,2022,364,2684,4448,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13263,5,361,13629,18070,
31,YUCATAN,59,PROGRESO,30,78,78,13637,0,186,317,0,460,0,0,0,0,0,0,0,0,0,0,0,1025,0,0,0,0,13799,29424,16,1626,31066,49340,
31,YUCATAN,60,QUINTANA ROO,1,2,2,0,0,0,205,0,0,0,183,0,0,0,0,0,427,0,0,0,0,0,0,0,0,50,865,0,15,880,966,
31,YUCATAN,61,RIO LAGARTOS,3,6,6,0,0,0,301,0,0,0,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,1370,2647,1,55,2703,3031,
31,YUCATAN,62,SACALUM,3,7,7,0,0,0,0,0,1325,0,0,0,0,0,0,0,624,0,0,0,0,0,0,0,0,1426,3375,0,108,3483,3968,
31,YUCATAN,63,SAMAHIL,3,8,8,105,13,65,0,0,0,0,1655,0,0,0,0,0,0,0,0,0,0,0,2049,0,0,0,3887,0,75,3962,4425,
31,YUCATAN,64,SANAHCAT,1,2,2,0,0,0,0,0,217,0,550,0,0,0,0,0,514,0,0,0,0,0,96,0,1,0,1378,0,24,1402,1482,
31,YUCATAN,65,SAN FELIPE,2,4,4,50,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,0,0,0,1692,0,40,1732,1946,
31,YUCATAN,66,SANTA ELENA,3,6,6,1554,0,0,0,0,0,854,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,2575,0,38,2613,3294,
31,YUCATAN,67,SEYE,5,13,13,2441,0,0,0,0,126,0,6,0,0,0,0,0,0,0,0,1627,0,0,2284,6,11,24,6525,0,168,6693,8041,
31,YUCATAN,68,SINANCHE,3,5,5,0,0,0,698,493,278,31,0,0,0,925,0,0,0,0,0,0,0,0,0,0,0,0,2425,0,64,2489,2750,
31,YUCATAN,69,SOTUTA,7,12,12,153,40,0,0,0,0,1560,67,0,0,0,0,0,0,0,0,0,0,0,0,3374,0,0,5194,0,112,5306,6738,
31,YUCATAN,70,SUCILA,2,5,5,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,0,0,0,416,0,0,0,2644,15,74,2733,3150,
31,YUCATAN,71,SUDZAL,2,3,3,761,4,0,251,5,0,463,0,0,0,0,0,0,0,0,0,0,0,0,9,3,2,0,1498,0,22,1520,1657,
31,YUCATAN,72,SUMA,2,4,4,1,3,0,11,0,540,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,1411,0,43,1454,1710,
31,YUCATAN,73,TAHDZIU,1,5,5,555,13,10,0,0,0,0,1737,0,0,0,0,0,0,0,0,0,0,0,840,0,0,0,3155,0,91,3246,3631,
31,YUCATAN,74,TAHMEK,2,5,5,1232,0,0,1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,2859,0,44,2903,3215,
31,YUCATAN,75,TEABO,2,8,8,0,0,0,0,1287,0,1419,0,0,0,0,0,0,1562,0,0,0,0,0,0,0,0,0,4268,0,98,4366,5147,
31,YUCATAN,76,TECOH,10,22,22,4519,83,1602,0,0,0,0,714,0,0,0,0,0,0,0,0,0,0,0,3093,0,0,0,10011,14,415,10440,13368,
