CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,MC,MORENA,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,678,B,1,0,B,0,72,31,11,48,0,10,8,0,0,0,0,77,257,0,2,259,597,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,678,C,1,0,C01,0,77,30,11,49,0,9,8,2,0,0,0,80,266,0,4,270,597,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,679,B,1,0,B,0,63,33,10,34,0,7,11,3,0,0,0,78,239,0,10,249,561,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,679,C,1,0,C01,0,70,37,5,46,0,8,2,2,0,0,0,81,251,0,7,258,560,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,680,B,1,0,B,0,70,27,11,51,0,13,5,1,0,0,0,95,273,0,5,278,604,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,680,C,1,0,C01,0,71,35,5,51,0,17,6,1,0,2,0,85,273,2,7,282,604,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,680,C,2,0,C02,0,72,24,10,50,0,14,5,2,0,0,0,75,252,0,10,262,603,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,682,B,1,0,B,0,52,23,4,32,0,8,2,3,0,0,0,48,172,0,5,177,439,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,683,B,1,0,B,0,81,32,6,33,0,9,8,1,0,0,0,75,245,0,3,248,575,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,683,C,1,0,C01,0,72,42,14,49,0,7,7,2,0,0,0,76,269,0,10,279,575,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,684,B,1,0,B,0,40,19,10,45,0,4,0,1,0,0,0,56,175,0,3,178,452,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,684,C,1,0,C01,0,45,24,7,35,0,7,6,3,0,0,0,60,187,0,7,194,452,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,685,B,1,0,B,0,99,46,11,49,0,13,9,3,0,0,0,73,303,0,4,307,625,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,685,C,1,0,C01,0,89,52,4,56,0,9,4,2,0,0,0,105,321,0,13,334,625,GRUPO DE RECUENTO,,,
