CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QS,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,PVEM_MORENA_PT,PVEM_MORENA,PVEM_PT,MORENA_PT,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,73,C,3,0,C03,0,121,9,6,5,5,186,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,344,0,28,372,601,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,74,B,1,0,B,0,40,32,0,5,5,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,190,0,20,210,383,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,74,C,1,0,C01,0,51,28,1,2,6,77,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,177,0,15,192,382,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,74,E,1,0,E01,0,50,9,2,3,4,172,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,253,0,15,268,334,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,75,B,1,0,B,0,38,15,1,3,25,177,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,277,0,28,305,580,GRUPO DE RECUENTO,,,
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,75,C,1,0,C01,0,63,15,10,5,38,191,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,331,0,14,345,580,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,75,C,2,0,C02,0,54,19,4,9,29,192,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,322,0,21,343,579,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,75,C,3,0,C03,0,56,10,3,2,33,180,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,301,0,27,328,579,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,76,B,1,0,B,0,42,84,1,107,16,37,24,24,0,0,0,1,0,0,0,21,0,0,0,0,9,7,0,0,373,0,10,383,584,GRUPO DE RECUENTO,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,76,C,1,0,C01,0,33,81,4,118,25,43,36,10,0,0,0,7,0,0,0,22,0,0,0,0,16,4,0,0,399,0,4,403,584,GRUPO DE RECUENTO,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,76,C,2,0,C02,0,33,91,3,106,27,31,21,12,0,0,0,4,0,0,0,26,0,0,0,0,7,4,0,0,365,0,17,382,584,ACTA CASILLA,,,
