CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1147,3,3,8,146,18,,,96,555,,,255,1,1,1,0,,,1081,0,36,1117,1994
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1148,2,2,8,144,4,,,65,386,,,87,4,0,0,0,,,698,0,46,744,1471
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1149,2,2,9,168,9,,,61,306,,,65,8,0,0,0,,,626,0,20,646,1047
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1150,3,3,11,143,12,,,82,545,,,93,3,1,1,0,,,891,1,41,933,1652
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1151,2,2,4,159,12,,,82,323,,,56,1,2,0,0,,,639,0,27,666,1493
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1152,2,2,2,133,16,,,78,381,,,135,3,2,0,0,,,750,0,39,789,1487
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1155,3,3,2,88,28,,,95,591,,,262,1,0,0,0,,,1067,0,27,1094,1659
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1156,4,4,10,96,11,,,112,846,,,651,0,0,0,0,,,1726,1,59,1786,2585
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1157,1,1,3,24,1,,,9,161,,,22,0,1,0,0,,,221,0,3,224,362
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1331,1,1,4,42,33,,,53,202,,,39,0,0,0,0,,,373,1,14,388,627
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,0,0,1,0,0,0,,,2,4,,,0,0,0,0,0,0,0,6,0,0,6,5
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1138,3,3,9,37,6,,,69,240,,,684,4,2,0,0,,,1051,0,29,1080,1813
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1139,1,1,15,28,1,,,50,119,,,180,0,0,0,0,,,393,0,13,406,651
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1140,3,3,2,58,2,,,54,204,,,521,1,0,0,0,,,842,0,23,865,1520
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1141,3,3,16,41,7,,,73,269,,,574,0,0,1,0,,,981,0,30,1011,1912
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1143,1,1,1,11,4,,,20,91,,,4,0,0,0,0,,,131,8,7,146,253
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1144,1,1,1,5,1,,,30,61,,,17,0,0,0,0,,,115,0,2,117,176
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1145,2,2,6,21,5,,,137,259,,,160,0,0,0,0,,,588,0,9,597,1107
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1153,2,2,5,14,7,,,207,296,,,116,1,0,0,0,,,646,0,23,669,1135
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1154,1,1,2,4,1,,,19,32,,,78,0,0,0,0,,,136,0,1,137,219
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1158,3,3,6,27,8,,,107,242,,,137,0,1,0,0,,,528,0,26,554,994
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1159,2,2,2,25,11,,,204,222,,,212,0,0,0,0,,,676,0,27,703,1468
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1160,2,2,1,6,3,,,153,282,,,106,0,0,0,0,,,551,0,24,575,961
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1161,2,2,6,31,5,,,239,297,,,138,1,0,0,0,,,717,0,18,735,1293
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1162,2,2,1,13,0,,,94,301,,,125,1,0,1,0,,,536,0,19,555,1008
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1163,2,2,10,23,3,,,137,274,,,207,0,0,0,0,,,654,2,26,682,1276
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1164,1,1,0,6,4,,,37,121,,,93,0,0,0,0,,,261,0,7,268,467
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1165,2,2,4,17,2,,,174,249,,,176,1,0,1,0,,,624,0,24,648,1179
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1166,2,2,8,16,9,,,129,302,,,219,2,0,0,0,,,685,0,25,710,1255
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1167,2,2,6,18,3,,,91,249,,,126,2,1,1,0,,,497,0,19,516,933
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1168,2,2,3,7,6,,,190,413,,,156,1,0,0,1,,,777,0,30,807,1354
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1169,1,1,2,49,6,,,37,184,,,77,0,0,0,0,,,355,0,16,371,595
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1170,2,2,4,32,2,,,162,301,,,104,1,1,0,0,,,607,0,21,628,1083
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1171,2,2,8,39,4,,,168,415,,,140,1,0,0,0,,,775,0,21,796,1428
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1172,1,1,2,19,2,,,96,141,,,56,4,0,0,0,,,320,0,4,324,535
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1173,1,1,2,12,1,,,41,88,,,25,1,0,0,0,,,170,0,6,176,296
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1174,3,3,14,49,4,,,300,434,,,201,0,1,0,0,,,1003,1,25,1029,1861
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1175,1,1,4,7,3,,,135,115,,,66,0,0,0,0,,,330,0,13,343,609
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1176,2,2,6,14,4,,,29,202,,,249,0,0,0,0,,,504,0,10,514,908
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1177,2,2,7,39,10,,,148,330,,,299,1,1,0,0,,,835,0,37,872,1482
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1178,2,2,2,60,0,,,77,206,,,167,1,0,0,0,,,513,0,17,530,815
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1179,1,1,5,10,2,,,58,204,,,65,0,0,0,0,,,344,0,9,353,619
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1180,3,3,11,57,7,,,128,281,,,322,4,0,0,0,,,810,0,33,843,1512
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1181,3,3,17,83,14,,,88,551,,,433,11,2,1,1,,,1201,1,48,1250,2189
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1182,2,2,6,11,5,,,70,302,,,354,1,0,0,0,,,749,2,37,788,1431
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1183,3,3,9,31,8,,,140,336,,,472,0,0,1,0,,,997,0,54,1051,1875
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1184,4,4,10,24,5,,,104,438,,,703,0,0,0,0,,,1284,0,57,1341,2285
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1185,2,2,4,29,1,,,187,224,,,97,0,0,0,0,,,542,0,12,554,926
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1186,3,3,5,37,5,,,58,210,,,441,1,0,0,0,,,757,0,24,781,1568
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1187,3,3,4,31,20,,,189,310,,,184,2,0,0,0,,,740,0,41,781,1579
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1188,3,3,8,19,6,,,208,339,,,194,0,0,0,0,,,774,0,53,827,1796
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,0,0,1,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,2
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1270,3,3,24,34,5,,,52,608,,,19,1,0,0,0,,,743,0,37,780,1725
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1271,2,2,6,76,4,,,69,416,,,15,0,0,0,0,,,586,0,42,628,1271
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1272,1,1,4,7,5,,,44,148,,,14,0,0,0,0,,,222,0,12,234,474
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1273,1,1,8,13,3,,,20,218,,,20,0,0,0,0,,,282,0,12,294,566
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1275,2,2,0,0,0,,,0,0,,,0,0,0,0,0,,,0,0,16,16,827
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1276,2,2,14,44,9,,,57,294,,,9,1,1,0,0,,,429,0,26,455,936
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1277,3,3,5,17,5,,,86,535,,,95,4,0,0,0,,,747,0,34,781,1604
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1278,3,3,15,48,10,,,62,365,,,43,1,0,0,0,,,544,0,36,580,1928
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1279,3,3,4,11,1,,,22,162,,,27,1,0,1,0,,,229,0,28,257,1540
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1285,2,2,6,9,4,,,150,303,,,28,0,0,0,0,,,500,0,20,520,1005
