CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,PNAM,MORENA,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,MC_PROGRESA,MORENA_PNAM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,204,C,2,0,C02,0,109,33,3,9,13,82,7,145,1,1,6,4,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,429,0,31,460,704,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,205,B,1,0,B,0,119,19,11,11,12,66,2,152,0,0,2,9,1,16,0,0,0,1,3,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,430,1,18,449,718,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,205,C,1,0,C01,0,127,42,10,10,7,73,4,142,3,3,20,5,4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,0,35,494,718,ACTA CASILLA,ANULADA,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,205,C,2,0,C02,0,144,26,5,11,7,70,7,124,3,2,6,7,6,5,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,428,1,23,452,717,ACTA DEL CONSEJO,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,205,C,3,0,C03,0,105,25,8,9,11,72,7,163,5,21,6,6,0,14,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,459,0,28,487,717,GRUPO DE RECUENTO,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,206,B,1,0,B,0,96,24,5,16,9,45,4,124,2,3,7,2,3,1,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,347,0,23,370,592,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,206,C,1,0,C01,0,84,25,5,16,8,52,5,123,1,4,6,8,19,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,360,0,17,377,592,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,206,C,2,0,C02,0,90,19,7,16,16,44,5,139,4,1,6,1,2,6,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,365,0,0,365,592,ACTA DEL CONSEJO,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,207,B,1,0,B,0,141,35,9,16,5,30,2,116,3,0,5,6,11,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,394,0,11,405,691,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,207,C,1,0,C01,0,149,38,8,6,4,49,5,119,5,6,7,6,0,22,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,436,0,0,436,691,ACTA CASILLA,,,
