CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,CANDIDATO,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO
5,16,MICHOACAN,,,,,,,DIP_LOC_RP,PT,9,HUGO ERNESTO RANGEL VARGAS,1,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,PT
5,16,MICHOACAN,,,,,,,DIP_LOC_RP,PT,10,DIANA MARIEL ESPINOZA MERCADO,2,,,PT
5,16,MICHOACAN,,,,,,,DIP_LOC_RP,PVEM,11,JUAN ANTONIO MAGAÑA DE LA MORA,1,,,PVEM
5,16,MICHOACAN,,,,,,,DIP_LOC_RP,PVEM,12,SANDRA MARIA ARREOLA RUIZ,2,,,PVEM
5,16,MICHOACAN,,,,,,,DIP_LOC_RP,MC,13,VICTOR MANUEL MANRIQUEZ GONZALEZ,1,,,MC
5,16,MICHOACAN,,,,,,,DIP_LOC_RP,MC,14,LEINAD ABIGAIL ROJAS ELENES,2,,,MC
5,16,MICHOACAN,,,,,,,DIP_LOC_RP,MORENA,15,JUAN PABLO CELIS SILVA,1,,,MORENA
5,16,MICHOACAN,,,,,,,DIP_LOC_RP,MORENA,16,MA FABIOLA ALANIS SAMANO,2,,,MORENA
5,16,MICHOACAN,19,TACAMBARO,1,ACUITZIO,,,PRES_MUN,MM,1,ADAN GUILLEN VILLASEÑOR,1,,,MM
5,16,MICHOACAN,19,TACAMBARO,1,ACUITZIO,,,SIND_MR,MM,1,FANNY VILLA VARGAS,2,,,MM
5,16,MICHOACAN,19,TACAMBARO,1,ACUITZIO,,,REG_MR,MM,1,ALEJANDRO FUERTE SANTOYO,1,CANDIDATURAS MIGRANTE,,MM
5,16,MICHOACAN,19,TACAMBARO,1,ACUITZIO,,,REG_MR,MM,2,JESSICA VALDEZ DURAN,2,,,MM
5,16,MICHOACAN,19,TACAMBARO,1,ACUITZIO,,,REG_MR,MM,3,IVAN RUBEN HERNANDEZ ALEJANDRE,1,,,MM
5,16,MICHOACAN,19,TACAMBARO,1,ACUITZIO,,,REG_MR,MM,4,CITLALI ANAHI OSORNIO RANGEL,2,,,MM
5,16,MICHOACAN,19,TACAMBARO,1,ACUITZIO,,,REG_RP,PT_PVEM_MORENA,1,JUAN DAVID AGUILAR CESAR,1,,,PT
5,16,MICHOACAN,19,TACAMBARO,1,ACUITZIO,,,REG_RP,PT_PVEM_MORENA,2,LORENA SERENO RAMIREZ,2,,,PT
5,16,MICHOACAN,19,TACAMBARO,1,ACUITZIO,,,REG_RP,C_PAN_PRI,3,JOSE JESUS ARMERIA DELGADO,1,,,PAN
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,2,AGUILILLA,,,PRES_MUN,PVEM,1,ELSA GUADALUPE CONTRERAS SANCHEZ,2,,,PVEM
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,2,AGUILILLA,,,SIND_MR,PVEM,1,JOSE ALFREDO ARIAS VALENCIA,1,,,PVEM
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,2,AGUILILLA,,,REG_MR,PVEM,1,RUBI PEREZ GUIZAR,2,,,PVEM
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,2,AGUILILLA,,,REG_MR,PVEM,2,JULIO VALENCIA ZAMORA,1,,,PVEM
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,2,AGUILILLA,,,REG_MR,PVEM,3,CINTHIA GUADALUPE PEÑA LOPEZ,2,,,PVEM
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,2,AGUILILLA,,,REG_MR,PVEM,4,CARLOS JIMENEZ MIRANDA,1,,,PVEM
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,2,AGUILILLA,,,REG_RP,C_PT_MORENA,1,MARIA ZAVALA ALCAZAR,2,,,PT
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,2,AGUILILLA,,,REG_RP,C_PT_MORENA,2,ANGEL GIOVANNI LOPEZ MIRANDA,1,,,PT
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,2,AGUILILLA,,,REG_RP,C_PT_MORENA,3,MARTA CASTAÑEDA OROZCO,2,,,PT
5,16,MICHOACAN,8,TARIMBARO,3,ALVARO OBREGON,,,PRES_MUN,C_PAN_PRI_PRD,1,ADAN SANCHEZ LOPEZ,1,CANDIDATURAS MIGRANTE,,PRI
5,16,MICHOACAN,8,TARIMBARO,3,ALVARO OBREGON,,,SIND_MR,C_PAN_PRI_PRD,1,MARIA GABRIELA TINOCO LOE,2,,,PRI
5,16,MICHOACAN,8,TARIMBARO,3,ALVARO OBREGON,,,REG_MR,C_PAN_PRI_PRD,1,JOSE GUADALUPE GARCIA VAZQUEZ,1,,,PRI
