CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,101,NAUPAN,832,3,3,29,428,4,25,45,25,6,604,9,21,0,1,0,2,0,10,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1217,0,78,1295,1649
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,101,NAUPAN,833,2,2,33,174,7,16,26,14,9,454,3,23,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,768,0,30,798,980
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,101,NAUPAN,834,2,2,47,308,8,20,29,19,14,469,12,10,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,3,1,0,0,2,0,0,0,0,0,954,0,56,1010,1299
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,883,2,2,128,43,56,43,41,13,10,459,12,6,9,2,0,0,0,1,1,1,0,0,0,8,3,2,0,2,0,6,2,0,1,2,0,0,1,0,0,0,14,0,2,2,0,0,2,0,0,872,0,43,915,1275
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,884,2,2,159,42,53,54,58,8,7,480,3,9,10,5,1,0,0,2,3,0,1,0,0,9,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,3,13,0,0,3,0,0,0,2,1,933,0,23,956,1266
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,885,2,2,102,30,35,30,36,8,3,320,4,9,7,7,0,0,0,1,1,0,2,0,0,4,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,2,0,619,0,40,659,850
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,886,2,2,43,18,7,40,10,6,5,92,0,3,0,2,0,1,0,0,0,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,251,0,14,265,360
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,887,2,2,184,43,48,149,26,12,3,295,10,3,9,3,0,0,0,1,0,0,0,0,3,2,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,5,5,0,0,4,0,0,0,1,0,811,0,48,859,1137
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,888,1,1,60,22,16,156,13,3,5,163,2,0,4,7,1,0,2,1,1,1,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,1,0,471,0,26,497,686
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,889,3,3,127,55,34,239,38,21,6,301,5,4,19,10,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,5,0,0,2,1,0,0,0,0,880,0,45,925,1318
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,890,4,4,54,94,157,292,95,9,18,713,8,8,2,4,1,1,1,2,3,0,2,0,1,7,1,0,0,2,1,8,2,0,1,1,0,0,1,0,1,4,20,4,0,5,2,0,0,0,0,1525,0,80,1605,2662
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,891,1,1,27,14,21,75,45,9,2,179,4,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,389,2,20,411,619
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,892,1,1,29,8,10,32,9,1,3,87,2,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,191,0,13,204,287
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,893,3,3,61,26,100,283,62,14,11,370,3,13,5,4,1,1,1,3,5,0,2,1,0,3,1,0,1,0,0,8,0,0,0,1,0,0,0,0,0,5,17,0,0,11,0,1,2,1,0,1017,0,66,1083,1581
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,894,2,2,51,32,39,150,41,10,12,154,7,4,0,4,0,1,1,1,3,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,2,521,0,43,564,861
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,895,1,1,40,13,4,16,18,10,3,88,1,1,2,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,211,0,17,228,320
