CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,MORENA_PT_PVEM,MORENA_PT,MORENA_PVEM,PT_PVEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1011,1,1,221,13,3,3,3,30,97,7,3,0,0,9,1,2,0,392,0,8,400,569
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1012,2,2,256,15,7,7,5,35,157,8,0,0,0,2,5,0,0,497,0,18,515,764
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1018,1,1,191,16,1,9,2,41,145,6,2,1,0,13,2,4,0,433,0,9,442,702
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1019,2,2,296,16,3,8,6,31,170,11,3,0,0,8,0,2,1,555,0,14,569,892
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1114,3,3,339,13,4,15,6,38,290,6,4,0,0,14,0,4,2,735,0,25,760,1918
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1115,4,4,445,21,15,29,17,67,397,18,6,0,0,7,1,6,0,1029,0,39,1068,2486
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1116,4,4,520,55,10,25,25,67,514,10,2,0,0,13,0,4,3,1248,0,18,1266,2670
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1117,3,3,351,47,7,35,19,77,300,175,5,2,1,13,3,4,1,1040,1,16,1057,2203
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1118,3,3,273,30,3,19,12,57,401,9,0,0,0,9,7,2,10,832,0,20,852,1972
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1119,4,4,268,13,11,35,24,43,525,9,2,0,0,24,8,8,1,971,0,27,998,2357
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1120,3,3,318,32,8,20,32,34,420,3,0,0,0,13,0,0,0,880,0,26,906,2045
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1121,3,3,390,31,11,23,8,48,394,21,3,0,0,9,1,6,0,945,0,21,966,1743
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1122,3,3,399,27,5,28,36,69,346,9,3,0,2,9,3,0,0,936,0,4,940,2180
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1123,3,3,386,14,2,12,13,51,265,4,2,0,0,12,5,2,0,768,0,11,779,2068
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1124,3,3,179,18,5,29,17,61,444,3,5,0,0,22,0,10,1,794,0,27,821,1949
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1125,2,2,207,17,5,20,12,50,393,4,2,0,0,12,0,5,3,730,0,19,749,1395
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1126,3,3,344,84,3,13,15,72,132,9,3,0,0,6,0,2,1,684,0,21,705,1686
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1127,2,2,254,5,1,8,4,4,91,0,0,0,0,9,0,2,0,378,0,7,385,869
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1128,2,2,258,14,3,19,8,43,255,1,3,0,0,7,1,1,1,614,0,15,629,1178
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1129,4,4,517,28,3,22,16,96,474,8,2,2,0,21,2,4,2,1197,0,16,1213,2451
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1130,3,3,212,10,2,7,9,17,142,1,0,0,0,4,1,4,0,409,0,19,428,1977
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1131,4,4,364,24,11,30,23,63,401,2,5,0,0,16,3,3,1,946,0,29,975,2674
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1132,3,3,429,30,7,21,26,68,324,5,3,0,0,6,2,3,0,924,0,22,946,2020
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1133,2,2,248,34,5,20,22,53,288,5,2,0,0,12,3,1,0,693,0,19,712,1258
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1134,3,3,234,57,6,34,32,68,394,1,2,0,0,7,0,5,1,841,0,21,862,1665
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1135,2,2,160,15,5,8,8,20,93,3,0,0,0,4,0,1,0,317,0,7,324,843
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1136,2,2,293,24,4,27,21,106,392,7,7,1,0,22,2,6,0,912,0,13,925,1495
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1137,7,7,1744,98,14,52,37,204,908,38,2,0,14,30,4,5,1,3151,0,26,3177,5137
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1138,4,4,462,27,5,31,17,93,397,4,9,0,2,19,3,0,9,1078,0,24,1102,2293
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1139,7,7,921,68,20,42,30,208,895,14,4,0,0,27,5,8,2,2244,0,37,2281,4583
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1140,5,5,336,29,8,34,25,89,551,3,4,0,0,30,3,11,0,1123,0,28,1151,2833
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1141,3,3,260,35,4,42,29,81,421,1,2,0,0,13,2,1,0,891,0,23,914,1964
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1142,3,3,238,35,4,18,15,54,166,5,3,1,0,9,0,0,0,548,0,18,566,1509
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1143,2,2,133,34,3,11,10,25,79,1,1,0,0,1,0,0,0,298,0,12,310,832
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1144,3,3,212,12,6,27,41,43,331,1,1,2,0,6,3,1,2,688,1,30,719,1829
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1145,2,2,115,8,2,10,16,31,263,2,0,0,0,13,2,2,0,464,0,17,481,995
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1146,1,1,87,3,3,9,11,19,146,0,0,0,0,0,0,0,0,278,0,18,296,530
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1147,5,5,593,36,11,43,30,111,739,15,2,0,0,17,5,6,2,1610,0,35,1645,3430
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1148,6,6,571,40,8,46,27,114,914,9,2,0,0,34,6,10,2,1783,0,22,1805,4367
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1149,5,5,1974,72,8,16,8,115,240,34,9,0,0,8,4,3,0,2491,1,16,2508,3508
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1150,4,4,1597,44,4,3,6,54,130,30,8,0,0,6,2,1,0,1885,0,11,1896,2448
