CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMV,PVEM_PT_MORENA,PVEM_PT_FXMV,PVEM_MORENA_FXMV,PT_MORENA_FXMV,PVEM_PT,PVEM_MORENA,PVEM_FXMV,PT_MORENA,PT_FXMV,MORENA_FXMV,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2802,2,2,79,40,8,103,22,28,255,9,5,9,1,0,2,6,1,1,0,2,1,1,0,2,1,576,0,23,599,1053
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2803,1,1,22,9,1,27,4,7,52,3,0,2,0,0,0,1,0,0,0,0,1,0,1,0,1,131,0,8,139,249
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2804,1,1,32,16,0,33,8,5,69,4,2,1,1,0,0,0,0,0,2,1,2,0,1,0,1,178,0,5,183,284
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2814,1,1,69,34,3,18,2,23,215,3,6,0,0,0,0,13,0,0,0,0,4,0,0,0,0,390,0,15,405,738
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2815,2,2,97,49,6,25,5,31,322,5,6,1,0,0,1,9,0,0,0,0,4,0,2,0,0,563,0,13,576,872
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2816,3,3,95,37,6,47,10,58,539,9,7,2,0,0,0,23,0,0,0,2,14,0,4,0,2,855,0,25,880,1601
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2817,2,2,135,44,7,37,10,57,388,9,8,4,1,0,0,18,1,0,0,0,7,0,2,0,1,729,0,22,751,1230
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2818,1,1,99,51,7,21,3,21,222,3,9,4,0,0,1,7,0,0,0,0,3,0,0,0,0,451,0,6,457,693
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2819,5,5,329,180,12,98,26,111,1065,25,19,7,2,0,7,35,1,1,0,6,18,1,12,0,1,1956,1,39,1996,3365
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2820,2,2,121,88,5,21,6,32,258,2,4,6,0,0,1,6,0,1,0,0,3,0,1,0,0,555,0,4,559,865
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2821,1,1,81,50,0,6,1,16,123,2,7,1,0,0,1,2,0,0,0,1,2,0,0,0,0,293,0,5,298,449
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2822,1,1,109,73,2,19,8,19,173,2,9,2,0,0,0,14,0,1,0,0,2,0,0,0,0,433,1,5,439,652
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2823,2,2,95,67,2,24,6,34,317,4,12,1,0,0,4,10,0,1,0,0,4,0,2,0,0,583,0,8,591,1009
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2824,2,2,121,56,6,26,8,35,441,7,7,1,0,0,3,10,0,0,0,0,5,0,1,1,2,730,0,12,742,1270
