ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMV,PVEM_PT_MORENA,PVEM_PT_FXMV,PVEM_MORENA_FXMV,PT_MORENA_FXMV,PVEM_PT,PVEM_MORENA,PVEM_FXMV,PT_MORENA,PT_FXMV,MORENA_FXMV,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,196,YANGA,14,28,28,713,1428,59,181,104,473,4593,57,106,50,5,2,23,136,19,5,5,14,66,8,20,6,13,8086,3,172,8261,13899,
30,VERACRUZ,23,ATZACAN,11,28,28,1026,841,320,329,251,1319,5351,187,126,17,14,7,47,194,4,0,5,32,49,3,33,4,10,10169,1,418,10588,15897,
30,VERACRUZ,70,FORTIN,27,85,85,7284,2627,337,698,456,3072,15551,297,470,144,9,9,145,661,19,15,17,44,201,8,101,9,32,32206,13,627,32846,51643,
30,VERACRUZ,87,IXTACZOQUITLAN,32,86,86,4040,3308,360,990,542,3324,16941,374,385,92,13,14,72,715,34,29,20,58,212,8,112,10,45,31698,17,737,32452,51111,
30,VERACRUZ,119,ORIZABA,98,198,198,13778,8543,609,1800,953,6973,32400,878,1461,291,32,17,347,1869,29,42,71,76,393,20,280,5,54,70921,44,1295,72260,105978,
30,VERACRUZ,6,ACULTZINGO,14,30,30,828,523,133,571,215,559,5490,154,53,22,8,6,21,237,4,10,9,23,96,4,33,1,19,9019,4,302,9325,15983,
30,VERACRUZ,19,AQUILA,1,4,4,97,123,6,106,25,122,445,18,4,3,0,0,1,17,1,0,0,0,3,1,11,0,0,983,0,36,1019,1648,
30,VERACRUZ,31,CAMERINO Z. MENDOZA,16,40,40,2211,1769,392,601,320,1349,7480,173,199,39,11,7,49,350,4,25,9,23,85,2,66,1,9,15174,12,506,15692,23682,
30,VERACRUZ,76,HUILOAPAN DE CUAUHTEMOC,4,9,9,447,260,49,195,45,361,1708,32,36,8,2,2,6,72,0,4,0,3,24,0,12,0,4,3270,1,73,3344,5538,
30,VERACRUZ,85,IXHUATLANCILLO,7,27,27,964,784,337,321,276,931,4643,187,121,24,13,6,32,261,5,5,12,18,51,4,43,4,18,9060,2,351,9413,16972,
30,VERACRUZ,100,MALTRATA,9,23,23,794,512,115,427,189,801,3350,93,53,14,1,1,28,196,4,4,6,36,57,7,17,5,9,6719,0,294,7013,12655,
30,VERACRUZ,102,MARIANO ESCOBEDO,16,42,42,1461,1178,1064,502,349,1150,6356,164,232,59,25,15,65,322,9,13,15,44,81,12,40,7,8,13171,5,465,13641,24426,
30,VERACRUZ,116,NOGALES,19,58,58,2842,1439,278,1804,360,2267,10826,253,235,36,4,9,103,529,12,16,11,31,200,7,70,2,14,21348,5,556,21909,35356,
30,VERACRUZ,128,LA PERLA,10,27,27,3551,1071,188,273,185,485,1903,101,164,99,13,5,14,67,6,5,1,10,28,3,12,2,4,8190,2,381,8573,17118,
30,VERACRUZ,139,RIO BLANCO,24,58,58,3411,1837,222,748,311,2480,11486,253,322,53,10,7,83,678,16,13,9,38,150,10,78,5,17,22237,11,456,22704,34510,
30,VERACRUZ,20,ASTACINGA,3,9,9,827,241,26,188,90,123,1010,42,30,18,2,0,2,62,4,0,0,6,18,0,15,1,3,2708,1,124,2833,5076,
30,VERACRUZ,21,ATLAHUILCO,5,15,15,833,783,82,187,191,277,2048,140,42,27,9,5,14,44,2,1,1,15,22,3,16,0,3,4745,4,274,5023,8119,
30,VERACRUZ,43,COETZALA,2,4,4,230,178,26,51,59,45,581,6,12,10,1,1,2,20,1,2,0,12,13,0,3,0,1,1254,0,47,1301,1904,
30,VERACRUZ,99,MAGDALENA,3,5,5,374,239,20,67,56,62,610,28,24,12,2,0,11,21,4,1,1,3,8,0,3,2,2,1550,0,38,1588,2408,
30,VERACRUZ,111,MIXTLA DE ALTAMIRANO,5,14,14,1748,1032,42,84,81,91,847,32,121,106,3,2,3,20,0,0,0,3,7,0,4,2,1,4229,1,214,4444,8393,
30,VERACRUZ,114,NARANJAL,3,6,6,277,596,19,95,39,157,876,33,44,12,1,0,8,56,3,1,2,15,10,3,6,1,6,2260,0,68,2328,3579,
30,VERACRUZ,135,RAFAEL DELGADO,9,28,28,1487,948,115,388,266,944,4451,252,163,45,4,3,37,169,12,5,4,16,63,7,34,4,12,9429,2,281,9712,16047,
30,VERACRUZ,138,LOS REYES,3,8,8,440,732,35,122,110,170,693,27,46,24,1,2,3,34,2,2,0,14,8,0,7,3,2,2477,0,142,2619,4335,
30,VERACRUZ,141,SAN ANDRES TENEJAPAN,2,4,4,225,212,24,38,27,170,373,15,30,7,2,2,3,26,0,1,0,1,3,0,1,0,0,1160,0,33,1193,2210,
30,VERACRUZ,148,SOLEDAD ATZOMPA,9,29,29,532,2800,1037,298,257,469,3007,227,72,24,9,18,3,39,6,0,0,10,15,0,14,1,7,8845,3,465,9313,15855,
30,VERACRUZ,159,TEHUIPANGO,8,31,31,4185,1805,142,435,419,289,1924,172,72,96,12,4,7,53,4,2,4,19,12,5,5,6,5,9677,1,597,10275,18752,
30,VERACRUZ,167,TEQUILA,8,20,20,1000,1326,184,738,251,318,2289,111,85,35,8,3,15,85,8,4,3,26,38,6,14,1,1,6549,1,300,6850,11276,
30,VERACRUZ,170,TEXHUACAN,4,8,8,416,423,43,99,120,97,834,51,40,27,5,2,6,38,1,0,0,10,10,1,6,1,4,2234,1,165,2400,4368,
30,VERACRUZ,172,TEZONAPA,35,74,74,2038,3277,267,1589,441,907,10445,264,302,81,14,7,77,475,20,12,9,97,196,19,67,14,24,20642,2,821,21465,39194,
30,VERACRUZ,183,TLAQUILPA,3,9,9,354,320,102,187,316,154,1188,71,40,13,4,2,22,75,3,0,6,23,25,1,19,2,3,2930,1,193,3124,5865,
30,VERACRUZ,184,TLILAPAN,2,7,7,166,132,8,26,24,24,175,10,18,6,1,0,0,5,3,0,0,4,4,1,1,0,1,609,1,24,634,4278,
30,VERACRUZ,195,XOXOCOTLA,2,6,6,498,107,13,137,127,87,1399,62,9,5,0,0,9,33,1,1,1,7,8,5,5,0,8,2522,0,93,2615,4203,
30,VERACRUZ,201,ZONGOLICA,28,61,61,3070,2634,1143,2182,564,913,4811,298,406,124,47,29,26,337,26,30,17,77,141,13,49,5,5,16947,11,1140,18098,34146,
30,VERACRUZ,5,ACULA,7,9,9,352,131,19,126,48,72,1709,45,23,4,0,0,0,41,1,2,0,20,20,2,3,0,5,2623,0,70,2693,4193,
30,VERACRUZ,47,COSAMALOAPAN,41,78,78,3632,1963,330,684,407,1095,13930,300,299,76,18,5,104,634,7,25,20,83,179,14,110,4,44,23963,5,577,24545,41255,
30,VERACRUZ,54,CUICHAPA,7,16,16,495,1074,24,155,76,176,3271,45,76,26,1,1,17,150,4,3,1,17,50,3,18,4,8,5695,0,150,5845,9057,
30,VERACRUZ,56,CHACALTIANGUIS,10,19,19,671,480,52,225,128,171,3097,72,58,18,3,0,10,102,14,17,2,27,42,13,21,3,10,5236,1,134,5371,8867,
30,VERACRUZ,86,IXMATLAHUACAN,7,11,11,529,124,13,307,72,151,1547,63,27,5,0,1,11,41,7,6,2,16,20,6,6,4,6,2964,0,80,3044,4732,
30,VERACRUZ,118,OMEALCA,18,33,33,820,1886,67,260,150,416,5462,105,119,61,2,4,22,245,8,10,4,23,88,4,31,1,25,9813,5,288,10106,16876,
30,VERACRUZ,120,OTATITLAN,5,9,9,315,327,35,63,52,54,1252,27,41,4,2,0,3,39,2,1,2,9,15,0,5,0,2,2250,0,85,2335,4190,
30,VERACRUZ,173,TIERRA BLANCA,67,136,136,9795,2525,284,1029,570,2557,19214,425,545,246,12,13,135,797,38,35,22,80,284,25,134,10,56,38831,13,1050,39894,74586,
30,VERACRUZ,175,TLACOJALPAN,4,7,7,259,130,12,103,66,57,1223,11,7,2,0,0,6,38,4,0,1,6,21,1,10,0,2,1959,0,42,2001,3520,
