ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,C_PAN_PRI_PRD,C_MORENA_NAH,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,68,TIZAYUCA,54,194,195,,,,9613,2319,5893,19734,28735,,,,,,,,,,,,,,,,,,,,,,66294,51,2753,69098,122820,
13,HIDALGO,69,TLAHUELILPAN,9,25,26,,,,3024,2189,458,676,2836,,,,,,,,,,,,504,,,,,,,,,,9687,4,392,10083,14384,
13,HIDALGO,70,TLAHUILTEPA,17,21,21,,,,1937,,,612,2398,,,,,,,,,,,,,,,,,,,,,,4947,6,157,5110,7393,
13,HIDALGO,71,TLANALAPA,8,16,16,,,,684,1177,318,1426,1622,,,,,,,,,,1102,,,,,,,,,,,,6329,7,216,6552,9059,
13,HIDALGO,72,TLANCHINOL,26,55,56,7733,671,,3224,,517,,5661,,,,,,,,,,,,,,,,,,,,,,17806,15,1170,18991,27038,
13,HIDALGO,73,TLAXCOAPAN,12,39,39,,,,3795,2019,1838,1761,4344,,,,,,,,,,,,,705,1230,,,,,,,,15692,6,544,16242,23158,
13,HIDALGO,74,TOLCAYUCA,8,23,23,,1781,145,992,484,,,5524,,,,,,,,,,,,,,,,,,,,,,8926,7,294,9227,13816,
13,HIDALGO,75,TULA DE ALLENDE,52,151,153,1573,1645,,9485,4553,3014,,21128,,,,,,,,,,,,,,,16818,,,,,,,58216,34,2346,60596,92222,
13,HIDALGO,76,TULANCINGO DE BRAVO,63,219,221,6302,17082,492,6021,2850,3780,,32301,,,,,,,,,,,5007,,,,,,,,,,,73835,60,3740,77635,138452,
13,HIDALGO,77,VILLA DE TEZONTEPEC,7,17,17,,,,2281,1317,1420,236,1512,,,,,,,,,,,,,,,,,,,,,,6766,3,212,6981,10463,
13,HIDALGO,78,XOCHIATIPAN,13,26,26,5091,42,,473,,,,5021,,,,,,,,,,,,,,,,,,,,,,10627,0,304,10931,13893,
13,HIDALGO,79,XOCHICOATLAN,9,14,14,,,,2267,39,396,49,1823,,,,,,,,,,,,,,,,,,,,,,4574,1,137,4712,5787,
13,HIDALGO,80,YAHUALICA,15,36,36,,,,1129,692,257,4971,6078,,,,,,,,,,,,,,,,,,,,,,13127,1,1016,14144,19265,
13,HIDALGO,81,ZACUALTIPAN DE ANGELES,19,50,50,919,322,,7172,499,2236,,4935,,,,,,,,,,,,,,,,,,,,,,16083,180,607,16870,29025,
13,HIDALGO,82,ZAPOTLAN DE JUAREZ,8,28,28,,,,2100,2218,911,3115,3306,,,,,,,,,,,,,,,,,,,,,,11650,2,342,11994,17645,
13,HIDALGO,83,ZEMPOALA,17,72,72,,,,2574,,6011,5166,14173,,,,,,,,,,,,,,,,,,,,,,27924,40,992,28956,44419,
13,HIDALGO,84,ZIMAPAN,53,74,75,,,,1596,3991,729,3163,8701,,,,,,,,,,,,,,,,,,,,,,18180,102,847,19129,32772,
