CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,C_PAN_PRI_PRD,C_MORENA_NAH,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1801,3,3,0,0,0,39,40,82,203,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,0,62,1097,1807
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1831,4,4,0,0,0,125,70,176,352,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1633,3,65,1701,2730
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1832,3,3,0,0,0,66,36,151,665,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358,3,24,1385,1977
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1833,2,2,0,0,0,26,22,60,98,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,45,660,1343
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1834,3,3,0,0,0,50,26,115,276,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039,0,31,1070,1841
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1835,4,4,0,0,0,111,57,154,283,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431,3,71,1505,2621
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1836,4,4,0,0,0,88,51,125,248,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1293,1,70,1364,2424
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1837,4,4,0,0,0,67,59,144,223,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1,70,1271,2307
4,13,HIDALGO,14,TULA DE ALLENDE,69,TLAHUELILPAN,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
4,13,HIDALGO,14,TULA DE ALLENDE,69,TLAHUELILPAN,1369,2,2,0,0,0,217,164,47,54,154,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,663,0,30,693,986
4,13,HIDALGO,14,TULA DE ALLENDE,69,TLAHUELILPAN,1370,2,2,0,0,0,304,232,54,109,223,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,955,2,29,986,1254
4,13,HIDALGO,14,TULA DE ALLENDE,69,TLAHUELILPAN,1371,1,1,0,0,0,176,139,26,45,120,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,528,1,17,546,739
4,13,HIDALGO,14,TULA DE ALLENDE,69,TLAHUELILPAN,1372,2,2,0,0,0,176,138,36,61,97,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,529,0,22,551,802
4,13,HIDALGO,14,TULA DE ALLENDE,69,TLAHUELILPAN,1373,3,3,0,0,0,301,312,54,99,266,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1062,0,37,1099,1527
4,13,HIDALGO,14,TULA DE ALLENDE,69,TLAHUELILPAN,1374,3,3,0,0,0,436,405,58,84,310,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,1336,1,65,1402,2101
4,13,HIDALGO,14,TULA DE ALLENDE,69,TLAHUELILPAN,1375,3,3,0,0,0,335,234,19,73,253,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,1088,0,54,1142,1688
4,13,HIDALGO,14,TULA DE ALLENDE,69,TLAHUELILPAN,1376,5,5,0,0,0,781,374,64,104,493,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,1941,0,77,2018,2951
4,13,HIDALGO,14,TULA DE ALLENDE,69,TLAHUELILPAN,1377,4,4,0,0,0,298,191,99,47,920,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1584,0,61,1645,2335
4,13,HIDALGO,14,TULA DE ALLENDE,73,TLAXCOAPAN,1429,4,4,0,0,0,449,133,126,159,305,0,0,0,0,0,0,0,0,0,0,0,0,56,66,0,0,0,0,0,0,0,1294,1,49,1344,1954
4,13,HIDALGO,14,TULA DE ALLENDE,73,TLAXCOAPAN,1430,5,5,0,0,0,678,254,305,202,462,0,0,0,0,0,0,0,0,0,0,0,0,103,214,0,0,0,0,0,0,0,2218,2,70,2290,3167
4,13,HIDALGO,14,TULA DE ALLENDE,73,TLAXCOAPAN,1431,3,3,0,0,0,487,184,159,180,210,0,0,0,0,0,0,0,0,0,0,0,0,44,118,0,0,0,0,0,0,0,1382,0,53,1435,2073
4,13,HIDALGO,14,TULA DE ALLENDE,73,TLAXCOAPAN,1432,3,3,0,0,0,408,116,143,119,277,0,0,0,0,0,0,0,0,0,0,0,0,33,79,0,0,0,0,0,0,0,1175,2,40,1217,1777
4,13,HIDALGO,14,TULA DE ALLENDE,73,TLAXCOAPAN,1433,3,3,0,0,0,366,129,91,89,274,0,0,0,0,0,0,0,0,0,0,0,0,56,122,0,0,0,0,0,0,0,1127,0,33,1160,1624
4,13,HIDALGO,14,TULA DE ALLENDE,73,TLAXCOAPAN,1434,3,3,0,0,0,490,135,82,114,290,0,0,0,0,0,0,0,0,0,0,0,0,51,81,0,0,0,0,0,0,0,1243,0,58,1301,1816
4,13,HIDALGO,14,TULA DE ALLENDE,73,TLAXCOAPAN,1435,3,3,0,0,0,106,100,428,157,214,0,0,0,0,0,0,0,0,0,0,0,0,12,95,0,0,0,0,0,0,0,1112,0,48,1160,1669
4,13,HIDALGO,14,TULA DE ALLENDE,73,TLAXCOAPAN,1436,3,3,0,0,0,143,95,328,232,348,0,0,0,0,0,0,0,0,0,0,0,0,22,155,0,0,0,0,0,0,0,1323,0,52,1375,2058
4,13,HIDALGO,14,TULA DE ALLENDE,73,TLAXCOAPAN,1437,3,3,0,0,0,125,245,31,124,663,0,0,0,0,0,0,0,0,0,0,0,0,123,115,0,0,0,0,0,0,0,1426,0,43,1469,2122
4,13,HIDALGO,14,TULA DE ALLENDE,73,TLAXCOAPAN,1438,4,4,0,0,0,231,361,64,141,733,0,0,0,0,0,0,0,0,0,0,0,0,97,105,0,0,0,0,0,0,0,1732,0,54,1786,2474
4,13,HIDALGO,14,TULA DE ALLENDE,73,TLAXCOAPAN,1439,3,3,0,0,0,186,193,38,120,376,0,0,0,0,0,0,0,0,0,0,0,0,78,56,0,0,0,0,0,0,0,1047,0,33,1080,1550
4,13,HIDALGO,14,TULA DE ALLENDE,73,TLAXCOAPAN,1440,2,2,0,0,0,126,74,43,124,192,0,0,0,0,0,0,0,0,0,0,0,0,30,24,0,0,0,0,0,0,0,613,1,11,625,874
4,13,HIDALGO,14,TULA DE ALLENDE,75,TULA DE ALLENDE,0,0,2,6,18,0,5,13,9,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,112,1,2,115,137
4,13,HIDALGO,14,TULA DE ALLENDE,75,TULA DE ALLENDE,1449,3,3,13,31,0,150,88,74,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,1228,0,46,1274,2048
4,13,HIDALGO,14,TULA DE ALLENDE,75,TULA DE ALLENDE,1450,3,3,5,19,0,78,159,40,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,1067,0,46,1113,1711
4,13,HIDALGO,14,TULA DE ALLENDE,75,TULA DE ALLENDE,1451,2,2,21,22,0,63,71,42,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,879,0,31,910,1314
4,13,HIDALGO,14,TULA DE ALLENDE,75,TULA DE ALLENDE,1452,4,4,36,51,0,122,94,68,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,0,0,0,0,0,0,1406,1,49,1456,2137
4,13,HIDALGO,14,TULA DE ALLENDE,75,TULA DE ALLENDE,1453,3,3,26,31,0,113,78,72,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,0,0,0,0,0,0,1237,1,49,1287,1969
4,13,HIDALGO,14,TULA DE ALLENDE,75,TULA DE ALLENDE,1454,2,2,10,15,0,76,42,45,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,728,2,22,752,1133
4,13,HIDALGO,14,TULA DE ALLENDE,75,TULA DE ALLENDE,1455,2,2,6,10,0,71,25,16,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,612,0,19,631,879
4,13,HIDALGO,14,TULA DE ALLENDE,75,TULA DE ALLENDE,1456,5,5,25,53,0,190,111,109,0,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,0,0,0,0,0,0,1904,1,177,2082,3020
4,13,HIDALGO,14,TULA DE ALLENDE,75,TULA DE ALLENDE,1457,3,3,28,27,0,79,81,42,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0,0,1093,0,44,1137,1641
4,13,HIDALGO,14,TULA DE ALLENDE,75,TULA DE ALLENDE,1458,3,3,22,27,0,94,108,55,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,1221,2,52,1275,1966
4,13,HIDALGO,14,TULA DE ALLENDE,75,TULA DE ALLENDE,1459,2,2,16,23,0,103,47,36,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,882,1,45,928,1460
