CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,UDC,MC,MORENA,CAND_IND1,CAND_IND2,PRI_PRD_UDC,PRI_PRD,PRI_UDC,PRD_UDC,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1481,B,1,0,B,0,0,112,0,0,27,0,1,115,0,0,3,2,0,0,10,270,0,9,279,340,Acta levantada en consejo,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1482,B,1,0,B,0,3,129,3,1,21,0,3,132,0,0,2,2,0,0,7,303,0,18,321,436,Acta levantada en consejo,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1483,B,1,0,B,0,1,109,3,1,30,1,2,99,0,0,0,1,0,0,4,251,0,3,254,331,Acta casilla,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1484,B,1,0,B,0,0,149,0,5,25,1,5,134,0,0,2,2,0,0,6,329,0,14,343,482,Acta levantada en consejo,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1484,C,1,0,C01,0,0,148,1,1,41,0,3,129,0,0,1,0,2,0,6,332,0,14,346,481,Acta levantada en consejo,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1485,B,1,0,B,0,3,138,4,1,7,1,6,116,0,0,2,0,1,0,3,282,0,9,291,408,Acta casilla,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1485,C,1,0,C01,0,3,149,1,1,8,0,2,111,0,0,1,0,0,0,1,277,0,19,296,407,Acta casilla,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1486,B,1,0,B,0,1,137,1,7,3,0,2,66,0,0,2,0,0,0,6,225,0,12,237,337,Acta casilla,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1488,B,1,0,B,0,0,61,1,0,12,0,12,49,0,0,0,1,0,0,3,139,0,6,145,172,Acta casilla,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1489,B,1,0,B,0,2,219,2,5,61,1,6,173,0,0,1,3,0,1,19,493,0,21,514,733,Acta levantada en consejo,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1490,B,1,0,B,0,1,142,1,5,4,0,5,216,0,0,2,1,0,0,8,385,0,14,399,517,Acta levantada en consejo,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1490,C,1,0,C01,0,1,106,1,10,15,0,2,244,0,0,2,0,0,0,6,387,0,12,399,516,Acta casilla,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1490,C,2,0,C02,0,2,99,0,11,7,0,2,234,0,0,1,1,1,0,15,373,0,14,387,516,Acta casilla,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1491,B,1,0,B,0,1,191,2,8,6,0,4,134,0,0,2,0,0,0,1,349,0,12,361,658,Acta levantada en consejo,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1491,C,1,0,C01,0,0,223,2,2,12,1,2,123,0,0,3,1,3,0,8,380,0,16,396,657,Acta levantada en consejo,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1491,C,2,0,C02,0,2,185,0,5,5,1,3,160,0,0,0,0,0,0,5,366,0,17,383,657,Acta levantada en consejo,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1492,B,1,0,B,0,3,178,4,3,14,0,1,193,0,0,1,1,2,0,5,405,0,18,423,591,Acta levantada en consejo,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1492,C,1,0,C01,0,2,197,5,1,12,4,2,194,0,0,4,0,0,0,6,427,0,20,447,590,Acta levantada en consejo,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1493,B,1,0,B,0,0,236,3,8,11,0,4,214,0,0,6,3,0,0,16,501,0,16,517,710,Acta casilla,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1494,B,1,0,B,0,0,63,0,0,11,0,1,34,0,0,0,0,0,0,0,109,0,0,109,143,Acta casilla,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1495,B,1,0,B,0,0,57,0,0,8,0,0,19,0,0,1,0,0,0,0,85,0,0,85,110,Acta levantada en consejo,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1496,B,1,0,B,0,0,66,0,1,3,0,0,57,0,0,0,0,0,0,2,129,0,5,134,167,Acta casilla,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1497,B,1,0,B,0,0,143,0,19,10,1,11,95,0,0,0,0,1,0,1,281,0,12,293,381,Acta casilla,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1172,B,1,0,B,0,48,375,7,15,2,1,7,45,0,0,3,0,0,0,2,505,0,9,514,649,Acta casilla,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1172,C,4,0,C04,0,37,376,3,11,5,0,6,60,0,0,9,0,0,0,3,510,0,7,517,649,Acta casilla,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1172,C,3,0,C03,0,34,367,4,9,6,1,3,60,0,0,4,2,1,0,1,492,0,6,498,649,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1172,C,1,0,C01,0,61,379,2,6,9,1,7,43,0,0,4,3,0,0,2,517,0,6,523,649,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1172,C,2,0,C02,0,42,399,5,9,10,1,6,40,0,0,4,1,0,0,1,518,0,9,527,649,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1173,B,1,0,B,0,30,265,2,13,18,0,8,118,0,0,3,0,0,0,4,461,0,21,482,642,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1173,C,1,0,C01,0,24,253,4,17,23,1,8,118,0,0,3,0,0,0,3,454,0,13,467,641,Acta casilla,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1173,C,2,0,C02,0,26,225,5,15,10,5,6,156,0,0,1,0,0,0,4,453,0,22,475,641,Acta casilla,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1173,C,3,0,C03,0,25,283,5,15,15,0,11,107,0,0,0,0,0,0,7,468,0,4,472,641,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1174,B,1,0,B,0,20,194,3,20,26,1,12,140,0,0,0,0,2,2,4,424,0,16,440,652,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1174,C,4,0,C04,0,22,191,8,29,8,1,13,144,0,0,3,0,0,0,7,426,0,19,445,652,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1174,C,1,0,C01,0,20,178,5,9,13,1,6,139,0,0,5,0,0,0,7,383,0,21,404,652,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1174,C,2,0,C02,0,23,192,5,17,12,9,0,134,0,0,3,0,1,0,9,405,0,11,416,652,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1174,C,3,0,C03,0,21,167,5,18,20,1,12,154,0,0,3,0,0,0,10,411,0,16,427,652,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1175,B,1,0,B,0,11,147,1,8,20,1,7,148,0,0,1,0,0,0,12,356,0,25,381,554,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1175,C,1,0,C01,0,20,146,0,18,8,0,45,144,0,0,1,1,0,0,5,388,0,26,414,554,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1176,B,1,0,B,0,28,208,4,32,7,4,12,116,0,0,0,0,0,0,4,415,0,21,436,631,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1176,C,1,0,C01,0,21,219,2,39,24,1,6,117,0,0,6,4,0,0,13,452,0,19,471,631,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1176,C,2,0,C02,0,21,201,2,49,13,1,3,133,0,0,0,0,0,0,10,433,0,26,459,631,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1177,B,1,0,B,0,57,355,6,9,15,1,8,69,0,0,5,0,0,4,0,529,0,11,540,711,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1177,C,1,0,C01,0,46,345,4,7,10,2,5,81,0,0,3,2,1,0,3,509,0,1,510,710,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1177,C,2,0,C02,0,55,350,5,6,7,5,11,67,0,0,6,2,0,0,8,522,0,7,529,710,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1177,C,3,0,C03,0,46,150,7,10,1,1,9,88,0,0,7,0,0,0,6,325,0,16,341,710,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1177,C,4,0,C04,0,47,368,6,8,12,1,10,76,0,0,5,3,1,0,1,538,1,10,549,710,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1177,C,5,0,C05,0,48,307,2,15,13,3,5,89,0,0,5,1,1,0,6,495,0,11,506,710,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1178,B,1,0,B,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,5,421,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1178,C,1,0,C01,0,2,165,0,6,15,1,2,87,0,0,0,0,0,0,0,278,0,25,303,420,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1178,S,1,0,S01,0,2,18,1,1,1,0,1,17,0,0,0,0,0,0,2,43,0,2,45,0,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1179,B,1,0,B,0,17,318,4,26,8,1,4,139,0,0,0,0,0,0,0,517,0,12,529,741,Acta casilla,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1179,C,1,0,C01,0,12,280,1,18,20,2,7,135,0,0,2,0,0,0,9,486,0,24,510,741,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1179,C,2,0,C02,0,15,282,6,18,22,1,9,122,0,0,2,1,1,0,8,487,0,27,514,741,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1179,C,3,0,C03,0,21,258,2,16,11,1,8,138,0,0,4,0,0,0,11,470,0,20,490,740,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1180,B,1,0,B,0,6,229,0,14,15,4,9,137,0,0,2,0,0,0,8,424,1,22,447,694,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1180,C,6,0,C06,0,13,185,6,14,20,3,5,153,0,0,1,2,0,0,0,402,0,24,426,693,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1180,C,7,0,C07,0,14,210,2,12,15,2,6,134,0,0,4,1,1,0,13,414,0,17,431,693,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1180,C,5,0,C05,0,8,192,3,10,10,0,7,149,0,0,1,1,2,0,7,390,0,29,419,693,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1180,C,4,0,C04,0,12,192,3,14,13,2,10,145,0,0,2,1,0,0,6,400,0,24,424,693,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1180,C,2,0,C02,0,16,200,1,12,20,1,10,148,0,0,3,0,0,0,8,419,0,28,447,694,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1180,C,1,0,C01,0,15,212,5,13,18,1,10,125,0,0,0,3,1,0,5,408,0,24,432,694,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1180,C,3,0,C03,0,11,179,2,19,14,0,9,149,0,0,3,3,0,0,14,403,0,16,419,693,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1181,B,1,0,B,0,15,165,7,7,20,1,2,110,0,0,5,1,0,0,9,342,1,10,353,463,Acta casilla,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1181,C,1,0,C01,0,20,152,14,4,16,1,9,105,0,0,1,4,0,0,8,334,0,4,338,463,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1182,B,1,0,B,0,26,58,6,5,22,2,9,97,0,0,3,2,1,0,6,237,0,8,245,515,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1182,C,1,0,C01,0,18,160,6,10,30,3,8,111,0,0,1,1,0,0,10,358,0,11,369,515,Acta levantada en consejo,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1183,B,1,0,B,0,49,382,5,8,9,1,4,38,0,0,3,2,1,0,4,506,0,4,510,627,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1183,C,4,0,C04,0,56,374,5,7,8,0,4,37,0,0,5,0,0,0,5,501,0,7,508,626,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1183,C,3,0,C03,0,62,361,3,7,8,0,9,42,0,0,4,1,0,0,2,499,0,4,503,626,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1183,C,2,0,C02,0,42,380,3,4,10,3,5,36,0,0,3,1,0,0,2,489,0,7,496,626,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1183,C,1,0,C01,0,43,383,3,7,6,0,8,37,0,0,2,1,1,0,2,493,0,3,496,627,Grupo de recuento,,,
2,5,COAHUILA,8,TORREON,35,TORREON,1185,B,1,0,B,0,8,169,2,15,21,0,3,159,0,0,0,0,0,0,5,382,0,29,411,628,Grupo de recuento,,,
