ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,485,SANTIAGO SUCHILQUITONGO,5,13,14,35,1247,661,52,1006,739,1937,39,12,,171,,,,,,,,5899,1,237,6137,8414,
20,OAXACA,486,SANTIAGO TAMAZOLA,6,8,8,,610,,,268,,803,,175,11,,,,,,,,,1867,1,78,1946,3281,
20,OAXACA,487,SANTIAGO TAPEXTLA,2,5,5,,,3,182,556,10,327,,5,294,0,,,,,,,,1377,0,63,1440,2170,
20,OAXACA,490,SANTIAGO TETEPEC,3,8,8,,362,,,712,,1023,208,,,,,,,,,,,2305,0,108,2413,3526,
20,OAXACA,506,SANTO DOMINGO ARMENTA,2,5,5,,637,3,278,144,14,397,3,,,,,,,,,,,1476,0,69,1545,2332,
20,OAXACA,507,SANTO DOMINGO CHIHUITAN,1,2,2,,431,,492,,,24,,1,,,,,,,,,,948,0,37,985,1305,
20,OAXACA,509,SANTO DOMINGO INGENIO,5,12,13,,17,,1221,169,1810,645,,16,1017,,,,,,,,,4895,0,227,5122,6869,
20,OAXACA,513,SANTO DOMINGO PETAPA,8,13,13,,133,,1325,,1735,1429,,,,,,,,,,,,4622,0,29,4651,6351,
20,OAXACA,515,SANTO DOMINGO TEHUANTEPEC,33,92,93,224,2444,100,6848,4411,1373,15181,514,110,,206,,,,,,,,31411,34,1290,32735,51535,
20,OAXACA,520,SANTO DOMINGO TONALA,7,13,13,,1464,80,,1229,,639,28,,18,,,,,,,,,3458,0,160,3618,6201,
20,OAXACA,525,SANTO DOMINGO ZANATEPEC,9,18,19,,50,13,542,,542,1968,,1603,1111,19,,,,,,,,5848,1,183,6032,9638,
20,OAXACA,534,SILACAYOAPAM,15,17,17,,,,,1091,,1365,,578,,18,,,,,,,,3052,0,135,3187,5638,
20,OAXACA,537,SOLEDAD ETLA,3,9,10,,261,,114,702,339,967,,1073,7,120,,,,,,,,3583,1,116,3700,5300,
20,OAXACA,545,TEOTITLAN DE FLORES MAGON,6,14,15,,54,18,985,1002,1354,1395,11,74,25,105,,,,,,,,5023,2,201,5226,7691,
20,OAXACA,550,TLACOLULA DE MATAMOROS,10,40,40,193,1288,82,558,3474,907,3167,61,232,526,219,,,1903,,,,,12610,8,575,13193,23143,
20,OAXACA,555,TRINIDAD ZAACHILA,2,5,5,,,128,25,21,13,736,13,11,692,14,,,,,,,,1653,1,127,1781,2636,
20,OAXACA,557,UNION HIDALGO,11,22,23,,,,,4150,30,3983,269,,,58,,,,,,,,8490,2,164,8656,11669,
20,OAXACA,558,VALERIO TRUJANO,2,2,3,,12,,,,18,425,500,2,,,,,,,,,,957,0,16,973,1272,
20,OAXACA,560,VILLA DE ETLA,4,14,15,,565,17,197,207,1544,1131,14,121,1533,261,,,,,,,,5590,2,219,5811,8715,
20,OAXACA,539,VILLA DE TAMAZULAPAM DEL PROGRESO,7,15,15,,85,,,71,,1643,34,81,1923,231,,,,,,,,4068,15,184,4267,6273,
20,OAXACA,332,VILLA DE TUTUTEPEC,21,64,64,,1017,,459,8304,118,7164,531,471,178,,,,,,,,,18242,2,841,19085,36377,
20,OAXACA,566,VILLA DE ZAACHILA,7,51,51,171,532,118,556,5391,6003,4024,870,1347,195,402,,,,,,,,19609,19,1023,20651,33655,
20,OAXACA,536,VILLA SOLA DE VEGA,10,22,22,55,,,1175,1945,,2225,,32,49,43,,,,,,,,5524,4,263,5791,9532,
20,OAXACA,543,VILLA TEJUPAM DE LA UNION,3,6,6,,,606,15,18,,693,4,5,7,,,,,,,,,1348,3,79,1430,2004,
20,OAXACA,568,ZAPOTITLAN LAGUNAS,3,4,4,,181,98,,61,,742,9,14,23,,,,,,,,,1128,0,140,1268,2310,
20,OAXACA,570,ZIMATLAN DE ALVAREZ,13,30,30,487,86,1094,2816,2164,2265,1539,,164,647,87,,,,,,,,11349,1,506,11856,16830,
