CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QS,PVEM_MORENA_PT,PVEM_MORENA,PVEM_PT,MORENA_PT,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,22,QUERETARO,4,QUERETARO,14,QUERETARO,550,C,8,0,C08,0,366,46,7,21,5,75,2,8,2,0,0,0,0,0,7,0,539,0,9,548,697,GRUPO DE RECUENTO,,,
5,22,QUERETARO,4,QUERETARO,14,QUERETARO,550,C,9,0,C09,0,359,42,5,15,6,55,1,2,5,0,0,0,0,0,8,0,498,3,20,521,697,GRUPO DE RECUENTO,,,
5,22,QUERETARO,4,QUERETARO,14,QUERETARO,550,E,1,0,E01,0,156,39,2,12,13,74,3,4,9,1,1,0,0,0,3,0,317,1,18,336,514,GRUPO DE RECUENTO,,,
5,22,QUERETARO,4,QUERETARO,14,QUERETARO,550,E,1,1,E01C01,0,160,35,6,13,12,64,10,1,8,1,1,2,0,0,2,0,315,0,9,324,514,GRUPO DE RECUENTO,,,
5,22,QUERETARO,4,QUERETARO,14,QUERETARO,550,E,1,2,E01C02,0,146,28,3,9,12,116,4,2,6,5,0,1,0,0,1,0,333,0,12,345,513,GRUPO DE RECUENTO,,,
5,22,QUERETARO,4,QUERETARO,14,QUERETARO,550,SMR,1,0,SMR01,0,29,4,3,3,4,16,2,0,1,0,0,0,0,0,3,0,65,0,4,69,0,GRUPO DE RECUENTO,,,
5,22,QUERETARO,4,QUERETARO,14,QUERETARO,550,SMR,2,0,SMR02,0,10,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,16,0,0,16,0,GRUPO DE RECUENTO,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,B,1,0,B,0,128,13,6,19,16,137,14,8,9,3,0,1,12,1,0,0,367,0,6,373,706,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,C,1,0,C01,0,117,13,3,18,18,140,7,5,20,1,0,2,9,4,1,0,358,1,0,359,706,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,C,10,0,C10,0,131,9,2,19,21,159,8,5,14,2,0,1,5,0,0,0,376,0,7,383,705,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,C,11,0,C11,0,106,13,4,17,15,151,10,6,8,1,0,0,7,0,1,2,341,1,7,349,705,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,C,12,0,C12,0,107,12,2,11,15,159,4,5,16,2,3,1,6,1,0,0,344,2,1,347,705,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,C,2,0,C02,0,84,19,6,17,14,156,6,8,12,6,0,1,3,3,0,0,335,0,14,349,706,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,C,3,0,C03,0,98,15,4,22,17,180,7,6,21,1,1,4,10,7,2,0,395,0,7,402,706,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,C,4,0,C04,0,107,24,1,24,9,171,8,10,10,5,2,3,3,1,1,1,380,0,7,387,706,GRUPO DE RECUENTO,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,C,5,0,C05,0,93,13,2,21,14,147,10,5,18,1,1,1,7,1,0,0,334,0,18,352,706,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,C,6,0,C06,0,102,21,3,12,23,157,14,6,10,2,1,1,5,2,0,1,360,0,12,372,705,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,C,7,0,C07,0,117,26,3,27,14,148,7,4,16,4,0,1,7,0,0,0,374,2,5,381,705,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,C,8,0,C08,0,121,15,4,22,23,151,7,7,9,0,0,2,10,0,0,0,371,0,10,381,705,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,C,9,0,C09,0,78,18,5,15,19,179,0,0,16,18,0,1,12,2,1,0,364,0,10,374,705,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,E,1,0,E01,0,274,19,1,27,12,102,9,7,7,1,0,0,13,2,1,0,475,0,11,486,702,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,E,1,1,E01C01,0,276,16,4,35,11,91,3,8,8,0,1,0,12,2,0,0,467,1,4,472,702,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,E,1,2,E01C02,0,261,8,2,25,12,117,8,7,9,0,0,1,13,6,1,0,470,0,8,478,702,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,E,1,3,E01C03,0,243,15,2,27,12,109,7,11,1,1,0,0,11,1,0,0,440,2,8,450,702,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,E,1,4,E01C04,0,260,17,4,25,10,108,11,8,8,1,0,1,16,2,2,0,473,0,8,481,702,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,E,1,5,E01C05,0,248,21,3,31,11,103,3,10,10,2,1,0,15,0,0,2,460,0,5,465,702,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,E,1,6,E01C06,0,240,17,0,39,12,102,12,9,10,0,0,1,19,0,0,0,461,0,8,469,702,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,E,1,7,E01C07,0,261,16,5,30,8,121,11,9,5,0,0,1,11,2,0,0,480,0,7,487,702,ACTA CASILLA,,,
