CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,4,COMALA,5,VILLA DE ALVAREZ,389,C,1,0,C01,0,72,101,10,9,13,43,117,18,25,3,0,8,5,2,0,3,429,1,16,446,667,ACTA DEL CONSEJO,,,
5,6,COLIMA,4,COMALA,5,VILLA DE ALVAREZ,389,C,2,0,C02,0,79,93,19,14,9,48,135,14,24,5,11,4,7,0,2,1,465,0,16,481,667,ACTA DEL CONSEJO,,,
5,6,COLIMA,4,COMALA,5,VILLA DE ALVAREZ,389,C,3,0,C03,0,67,79,10,11,15,56,109,20,30,12,12,7,12,1,1,3,445,0,15,460,667,ACTA DEL CONSEJO,,,
5,6,COLIMA,4,COMALA,5,VILLA DE ALVAREZ,390,B,1,0,B,0,33,50,7,19,77,30,165,3,13,3,5,2,9,1,3,3,423,0,6,429,689,ACTA CASILLA,,,
5,6,COLIMA,4,COMALA,5,VILLA DE ALVAREZ,390,C,1,0,C01,0,28,39,12,22,15,24,147,9,13,6,5,2,10,3,6,2,343,0,13,356,688,ACTA CASILLA,,,
5,6,COLIMA,4,COMALA,5,VILLA DE ALVAREZ,390,C,2,0,C02,0,42,41,3,21,23,31,141,9,6,4,8,4,11,5,3,2,354,0,18,372,688,ACTA CASILLA,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,391,B,1,0,B,0,22,11,20,20,16,58,168,10,6,5,0,2,12,1,2,0,353,0,11,364,676,ACTA CASILLA,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,391,C,1,0,C01,0,23,13,22,31,10,62,166,6,4,5,0,3,3,2,0,0,350,0,7,357,675,ACTA CASILLA,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,391,C,2,0,C02,0,25,19,11,24,11,61,170,8,4,6,0,1,11,0,2,3,356,0,5,361,675,ACTA CASILLA,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,391,C,3,0,C03,0,30,24,17,14,11,51,170,5,3,8,0,0,8,0,1,4,346,1,7,354,675,ACTA DEL CONSEJO,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,392,B,1,0,B,0,94,30,16,12,3,36,62,3,2,5,0,1,4,0,0,0,268,0,7,275,413,ACTA DEL CONSEJO,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,392,C,1,0,C01,0,79,30,17,6,9,46,68,7,1,1,0,3,3,0,1,0,271,0,8,279,412,ACTA CASILLA,,,
