CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN_PRI_PRD_PRS_PHBCS,MORENA_PT_PVEM_NABCS,PAN,PRI,PRD,PT,PVEM,MC,PRS,MORENA,PHBCS,NABCS,FXMBCS,MLBCS,PESBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,18,B,1,0,B,0,46,139,0,0,0,0,0,108,0,0,0,0,8,15,0,316,0,10,326,636,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,18,C,1,0,C01,0,50,135,0,0,0,0,0,104,0,0,0,0,9,8,0,306,1,12,319,635,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,19,B,1,0,B,0,29,87,0,0,0,0,0,66,0,0,0,0,7,11,0,200,2,12,214,456,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,19,C,1,0,C01,0,22,111,0,0,0,0,0,48,0,0,0,0,11,18,0,210,0,14,224,456,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,20,B,1,0,B,0,26,156,0,0,0,0,0,46,0,0,0,0,10,9,0,247,1,23,271,641,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,20,C,1,0,C01,0,22,188,0,0,0,0,0,69,0,0,0,0,7,9,0,295,0,9,304,641,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,21,B,1,0,B,0,34,129,0,0,0,0,0,90,0,0,0,0,11,6,0,270,2,11,283,546,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,21,C,1,0,C01,0,30,147,0,0,0,0,0,76,0,0,0,0,4,10,0,267,1,18,286,546,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,22,B,1,0,B,0,33,104,0,0,0,0,0,81,0,0,0,0,8,15,0,241,0,12,253,593,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,22,C,1,0,C01,0,40,122,0,0,0,0,0,69,0,0,0,0,11,15,0,257,4,8,269,592,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,22,C,2,0,C02,0,36,112,0,0,0,0,0,66,0,0,0,0,9,17,0,240,0,5,245,592,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,22,C,3,0,C03,0,35,121,0,0,0,0,0,87,0,0,0,0,7,11,0,261,0,8,269,592,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,23,B,1,0,B,0,32,101,0,0,0,0,0,62,0,0,0,0,12,6,0,213,0,8,221,419,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,23,C,1,0,C01,0,31,112,0,0,0,0,0,66,0,0,0,0,11,16,0,236,0,4,240,419,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,24,B,1,0,B,0,54,155,0,0,0,0,0,96,0,0,0,0,6,22,0,333,0,9,342,704,Acta casilla,,,
