CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES_BC,FXM_BC,PVEM_MORENA_FXM_BC,PVEM_MORENA,PVEM_FXM_BC,MORENA_FXM_BC,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,28,1,1,0,19,3,9,27,15,120,35,16,0,0,0,0,0,244,9,13,266,573
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,29,2,2,0,22,7,16,23,27,177,77,48,0,0,0,0,0,397,4,29,430,968
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,30,2,2,94,34,12,24,57,40,242,98,60,0,0,0,0,0,661,4,32,697,1262
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,31,2,2,56,14,4,14,25,18,149,79,20,0,0,0,0,0,379,1,29,409,857
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,32,3,3,96,41,14,28,47,40,383,134,42,0,0,0,0,0,825,9,73,907,1894
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,33,3,3,91,26,22,26,56,59,422,104,47,0,0,0,0,0,853,7,50,910,1843
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,34,3,3,72,32,15,28,66,61,321,77,62,0,0,0,0,0,734,0,60,794,1526
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,35,4,4,118,45,31,52,72,72,600,184,98,0,0,0,0,0,1272,11,44,1327,2824
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,36,4,4,79,52,27,45,93,41,404,177,70,0,0,0,0,0,988,22,49,1059,2326
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,37,5,5,84,58,34,71,87,63,643,216,81,0,0,0,0,0,1337,51,88,1476,3039
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,38,3,3,66,26,14,41,92,46,432,140,43,0,0,0,0,0,900,14,73,987,2034
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,39,3,3,73,37,26,33,44,38,328,130,39,0,0,0,0,0,748,17,54,819,1593
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,40,3,3,92,25,12,39,73,45,366,86,40,0,0,0,0,0,778,3,60,841,1763
